dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,128,3,BFGS,0.8784828505031059,0.506933358369021,130,318.68,,0.001,(4.693549479848517 + ((1.8887369552952622 * (-4.543727322540949 + (0.8485018342746871 * x_2))) - ((2.129680847762235 * inv((0.13648635898551317 + (6.558734237239346 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))) - (((0.9189960835272867 * inv((0.5059162744634076 + (3.0984404944157555 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))) - (0.5052408135063593 * inv((49.26385510821169 + (2.29231115894319 * (-3.689442089095961 + (0.6641659926365366 * x_0))))))) - (((-0.3884417838833744 * (-3.1650294675520123 + (0.6187740894529837 * x_1))) - (-0.8089168735578043 * (-4.543727322540949 + (0.8485018342746871 * x_2)))) - (((42.25535065334766 * inv((59.39926888887757 + (-0.0575480040874259 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))))) - (((((0.6203593969677994 * (-4.543727322540949 + (0.8485018342746871 * x_2))) - (-0.47571208174905844 * inv((122.68498672260782 + (3.5268572620133116 * (-4.543727322540949 + (0.8485018342746871 * x_2))))))) - (5.29223315220373 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (-4.55969195785712 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (0.2933471643373541 * (-3.689442089095961 + (0.6641659926365366 * x_0))))) - (0.19468029206743098 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))))))
1028_SWD,ok,10,128,3,BFGS,0.3769770299567925,0.6375423010720062,145,304.24,,0.001,(3.7610653203227935 + (((((((0.34966765583895554 * (-2.1689364464787513 + (0.972617240573431 * x_2))) - (-0.08475329478894769 * (-2.4841136395988146 + (1.2451697441598069 * x_3)))) - (((-0.1518104674764551 * (-2.3736872687394746 + (1.012233376861183 * x_4))) - (1.5078257622746012 * inv((-0.507429168542038 + (3.872669675886608 * (((52.87725566837702 * (-2.6745450995191127 + (1.3046561461068844 * x_9))) - (-9.467522266058815 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) * inv((1.8794780168547582 + (0.3420758673939668 * (-2.1689364464787513 + (0.972617240573431 * x_2))))))))))) - (0.16808013672363686 * (-2.9121760301824526 + (1.3867504905630728 * x_7))))) - (0.578049374458403 * inv(((26.169864997270686 * (-2.9121760301824526 + (1.3867504905630728 * x_7))) + (1.2282339571225025 * inv((49.595266845810926 + (2.3898726815015463 * ((-2.9293890917537175 + (2.0064308847628203 * x_5)) * (((0.831184669135957 * (-2.3736872687394746 + (1.012233376861183 * x_4))) - (8.181525183951155 * (-2.566230515260939 + (1.2704111461687815 * x_8)))) + (0.18827856213090077 * (-2.7885115085974532 + (1.4154880754301793 * x_0))))))))))))) + (0.08375135478717527 * (-2.8621521711176414 + (1.2806049982629268 * x_1)))) + (0.07136967573778252 * (-2.9293890917537175 + (2.0064308847628203 * x_5)))) - (0.05807666548729884 * ((-2.5904290116544066 + (1.3421911977483971 * x_6)) * (-2.3736872687394746 + (1.012233376861183 * x_4))))))
1029_LEV,ok,4,256,4,BFGS,0.6135157257325576,0.6035087241039998,119,425.53,,0.001,(4.478316204644321 + ((1.7855964886108895 * (inv((0.7622577982775394 + (2.437878210951631 * (-1.3777422408758337 + (0.721331016165358 * x_3))))) * (-0.13843175151678577 * (-1.3777422408758337 + (0.721331016165358 * x_3))))) - (((((3.094604424101478 * inv((1.157821465891594 + (0.6087432800736821 * (0.11578001046854669 * inv((19.78002423112998 + (6.042575022193905 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))))))) - (0.39451608945634953 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))) - (3.6305932661494698 * inv((77.06283358667392 + (0.8803096048045354 * (-1.3777422408758337 + (0.721331016165358 * x_3))))))) + ((-0.003403402183859934 * inv(((0.032971711050284444 * inv((64.88042467615395 + (0.4878889405651128 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))) - (0.584861182935148 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))) + (((-0.26100793162428926 * (-1.3777422408758337 + (0.721331016165358 * x_3))) - (0.19050724297888333 * (-1.338219395737549 + (0.6915862510271571 * x_2)))) + (0.6685486683042683 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - (1.25189580368717 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))
1030_ERA,ok,4,64,2,BFGS,0.451230415010789,1.487009901283748,99,466.84,,0.001,(0.6416754570231269 + (((-3.712319937315028 * (-1.4098777764544617 + (0.21377979931075994 * x_3))) - ((-0.015575507079525881 * ((-1.6821592654348876 + (0.2229502008528678 * x_0)) * (-1.775251610451698 + (0.26918144207000727 * x_2)))) - (((((179.17528210930095 * inv((13.609644873573764 + (-0.514500513380924 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))))) - (4.399391260820201 * cos((0.8263867853045461 + (0.32289587283386423 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) - (-0.4979066238894838 * (-1.775251610451698 + (0.26918144207000727 * x_2)))) - ((0.0234910296846096 * (-1.4098777764544617 + (0.21377979931075994 * x_3))) - (0.7231289770947567 * cos((0.39866467263427574 + (6.348135843146128 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))))))) - (-4.13462850586 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))))) - (15.020947701227733 * cos((38.80448960487098 + (0.01647614500617728 * (-1.6821592654348876 + (0.2229502008528678 * x_0))))))))
1096_FacultySalaries,ok,4,128,3,BFGS,0.8987519254771814,1.4545777766621604,116,633.87,,0.001,(42.03890891427354 + (((((10.319973738142945 * inv(((0.5044968969401898 * inv((-70.59347448278315 + (1.5967490122397994 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) - ((0.6897171851131612 * inv(((-0.2786156608777482 * (-9.112288776127002 + (0.17718880655098507 * x_3))) - (0.16093413213216928 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) + ((-9.112288776127002 + (0.17718880655098507 * x_3)) * inv((60.90763762814461 + (-0.22800204059342466 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))))))) - (2.355984642004815 * (-9.112288776127002 + (0.17718880655098507 * x_3)))) + (0.17620871143274336 * (-7.346234106637792 + (0.09939270487749849 * x_2)))) + ((9.165369952323631e-07 * inv((2.0395918883368084e-05 + (-1.7111131502543907e-05 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (-5.7328267310453 * inv((4.832211200559457 + (0.3179800078872137 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))))) - ((-0.3266862013312233 * inv((-1.4816539731400495 + (91.03482217031784 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))) - (-0.3765189157817067 * (-7.346234106637792 + (0.09939270487749849 * x_2))))))
1193_BNG_lowbwt,ok,9,64,2,BFGS,0.6248576898317979,443.7872405080485,130,801.89,,0.001,(1.7571511569676934 + ((((2.61775206486508 * (-4.7670358854990456 + (0.20452064575820186 * x_1))) - ((-6.485176599776025 * ((-4.341145088689214 + (0.03261568031203464 * x_2)) * ((0.5020963071397573 + (1.3682954522475081 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))**2)) - (7.77209762451788 * ((-1.7565107319733801 + (1.3459852352286439 * x_3)) * ((((-373.3188092240972 + (-0.8619177057222005 * (-0.9231403599700084 + (0.7474820728502092 * x_8)))))**2 * (-40.181827363740666 * inv(((170.02062433639423 * (-0.8422598823413764 + (2.029541885159943 * x_4))) + (-37.85598903522066 * ((-0.17033483863036802 + (496.38487259670524 * (-0.8422598823413764 + (2.029541885159943 * x_4)))))**2))))) * (((-14.087005118405155 * ((-1.7565107319733801 + (1.3459852352286439 * x_3)) * (-0.8422598823413764 + (2.029541885159943 * x_4)))) - cos((1.6680099457162147 + (22.563553935013744 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))) - (-0.0854770725281852 * ((10.252109128202239 + (0.12861340750947398 * (-0.2412489548185819 + (4.386344633065126 * x_6)))))**2))))))) - (-1.8361632964736874 * ((39.65339827315695 + (0.6017227333370441 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))**2)) - (531.0436057139743 * (-0.7018100265975371 + (2.126697050295567 * x_0)))))
1196_BNG_pharynx,ok,10,64,2,BFGS,0.4753185232034599,277.4730908242398,118,571.49,,0.001,(564.3773206032492 + (((-33.702465948093206 * (-1.3184242770282357 + (1.2437964877624863 * x_6))) - (((-222.45798798350722 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - (-2.6327325434125974 * ((-1.3193830297679 + (0.5890102811463838 * x_0)) * inv(((4.654853397225789 * ((14.964514862595003 + (294.95547342141253 * (-5.275654998591812 + (0.08600904883651646 * x_4)))))**2) - ((9.285686181038876 * inv((-53.39587765749337 + (-79.16719953664438 * (-1.4913495697629222 + (1.021472308056796 * x_8)))))) - ((-258.27612057920305 * inv((-5.910580027132951 + (1823.40694503564 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))) - ((-402.1242697319544 * inv((24.44848549610336 + (-3678.7562158771343 * (-1.3076038098835963 + (1.5659925866869417 * x_3)))))) - (19.98195885863265 * (-1.3184242770282357 + (1.2437964877624863 * x_6))))))))))) + ((-11.464922822515113 * (-5.275654998591812 + (0.08600904883651646 * x_4))) - (-61.901279977768695 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))))) - ((8.695628551636243 * (-1.020204061220407 + (2.000400120040014 * x_2))) - (-68.04008341113996 * (-0.4676211227230167 + (1.585156348213616 * x_5))))))
1199_BNG_echoMonths,ok,9,256,4,BFGS,0.5361708382189362,10.561474658849825,117,286.68,,0.001,(1.0484194926539026 + ((18.90438011503131 * sin((2.947004455515872 + (0.5042437465447418 * (-2.050416905868444 + (9.294535034379726 * x_3)))))) - (((-0.6881618522499846 * (-2.7393118696321914 + (0.1834262746734647 * x_6))) - ((-2.726877192625081 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - (((0.6332084653776202 * (-7.068403061162645 + (0.11366866615016445 * x_1))) - (((19.820211139101467 * cos((-0.04946300852503492 + (-0.20459025971694883 * (-7.068403061162645 + (0.11366866615016445 * x_1)))))) - ((-0.8593738573875258 * (-0.4525696378552518 + (2.66217434032501 * x_2))) - (((-0.6479221517998133 * (-0.4525696378552518 + (2.66217434032501 * x_2))) - (7.485712936773517 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))) - (-7.415334994752609 * (-2.050416905868444 + (9.294535034379726 * x_3)))))) - (1.023711288738453 * sin((1.2668650592740787 + (0.7833009772249315 * sin((0.315079213512103 + (-11.747649090097266 * (-6.139712387609727 + (1.3064991268887023 * x_5))))))))))) - (0.30797261362043693 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))))) + (4.114233161895111 * (-0.5850486126764433 + (2.29430828500566 * x_8))))))
1201_BNG_breastTumor,ok,9,256,4,BFGS,0.15374075017687538,9.745756600730788,130,410.46,,0.001,(24.90856412948945 + ((0.011720785002139744 * ((-0.5388159060803247 + (2.3947373603569986 * x_3)) * ((-0.75 + (2.0833333333333335 * x_8)) * ((-0.17609069851832393 * (-5.513793854744495 + (0.10828748668207969 * x_0))) + (18.661606317365568 * inv((0.5376839662494466 + (0.7687032435328307 * (-0.75 + (2.0833333333333335 * x_8)))))))))) - (((5.558667747059896 * (cos(((34.086642752501916 * (-0.749436783737264 + (0.22607444456629383 * x_2))) - (2.298886463506137 * inv(((-0.0616585529358151 * (-0.749436783737264 + (0.22607444456629383 * x_2))) - (0.37105263119414045 * ((0.45041194643868665 + (3.683320811374637 * (-0.933007822647968 + (1.6963778593599417 * x_1)))))**2)))))) * ((0.35044719270903335 * inv((4.5315988093805295 + (34.636243842617745 * (-0.933007822647968 + (1.6963778593599417 * x_1)))))) - (0.5009166198197967 * (-1.2500406497455434 + (0.8064778385455118 * x_6)))))) - ((-1.2500406497455434 + (0.8064778385455118 * x_6)) * ((-0.4291079483371638 * (-1.061913167103641 + (2.0036097492521527 * x_5))) - cos((36.151630576061365 + (3.954530774373394 * (-1.2500406497455434 + (0.8064778385455118 * x_6)))))))) - (0.7188869828816999 * cos((-0.7428065450317467 + (34.73412847860641 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))))))))
1203_BNG_pwLinear,ok,10,256,4,BFGS,0.4969188752693292,3.112710442548607,113,309.06,,0.001,(-0.09606412324683955 + ((((0.5159979128443006 * (0.23480352857641618 + (1.2692082625752226 * x_1))) - (9.532555666831101 * (-0.3106848830006 + (1.2427395320024 * x_5)))) - (((7.952972756860298 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) - (53.6026780355397 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) - (((((9.83821233333795 * (-0.3106848830006 + (1.2427395320024 * x_5))) - (52.693126540373186 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) - (-1.0158040860793367 * (-0.032157832069216574 + (1.286313282768663 * x_4)))) - (-5.691637404128784 * (-0.07017213284715496 + (1.0024590406736422 * x_0)))) + (((0.26891333305471843 * (-0.0689883074727411 + (1.1498051245456848 * x_7))) - (-0.24142210073183445 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))) - (0.004334831213606746 * inv(((1.007352781696674 * (-0.018397292771819163 + (1.2264861847879442 * x_3))) - (1.0990635083730917 * inv((18.957013274243636 + (-46.95735870779829 * (0.23480352857641618 + (1.2692082625752226 * x_1))))))))))))) - (0.0970507031940136 * (0.103834826330233 + (1.2979353291279123 * x_9)))))
