noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.9029584131922193,0.05453828279840215,119,119,0.8151260504201681,42.95798319327731,415.82176399971763,119,8.92025086058288,8.366284845576416,119
0,Strogatz,0.6004921819740471,0.11354079244030735,14,14,0.2857142857142857,38.142857142857146,298.6938775510204,14,7.528430989810398,6.4415865982712495,14
0,Black-box,0.44079548839087557,0.10732035914384647,88,89,0.07865168539325842,56.853932584269664,554.1696755460168,89,7.636910044745113,5.2519952560797565,89
0.001,Feynman,0.9165065602588426,0.04223450773794608,119,119,0.865546218487395,44.23529411764706,407.77656945131,119,12.963181609867,22.487527650174172,119
0.001,Strogatz,0.6392077760666867,0.10175936645536644,14,14,0.35714285714285715,43.357142857142854,411.3724489795918,14,9.21588340827397,16.174339657425733,14
0.001,Black-box,0.4837935971089604,0.09194472508579196,85,89,0.11235955056179775,59.70454545454545,684.6627066115703,88,14.897486486218192,36.792235462918946,88
0.01,Feynman,0.9002554657779293,0.05320479915189912,118,119,0.8151260504201681,45.890756302521005,238.90403220111568,119,13.447733730829063,14.472883817487368,119
0.01,Strogatz,0.5497931219574839,0.15796867511058518,14,14,0.35714285714285715,42.714285714285715,299.06122448979596,14,7.200045142854963,5.396046307074519,14
0.01,Black-box,0.48087518491774756,0.0816224366072816,83,89,0.06741573033707865,57.02247191011236,564.3815174851661,89,14.721503131845024,45.03155214040625,89
0.1,Feynman,0.8523318596099739,0.04313769434259749,117,119,0.6554621848739496,60.436974789915965,412.3972883270956,119,13.995641522046899,16.057191911282523,119
0.1,Strogatz,0.5842313409659738,0.12591843045033782,14,14,0.2857142857142857,55.5,445.67857142857144,14,8.888922435896736,11.5910075849048,14
0.1,Black-box,0.3899881643422581,0.09468930149129927,75,89,0.06741573033707865,77.33707865168539,27733.571771240997,89,14.706707702593857,37.37502711418493,89
