dataset,status,n_features,refinement_type,r2,rmse,complexity,complexity_original,complexity_simplified,seconds,error,noise_strength,expr,expr_simplified
1027_ESL,ok,4,BFGS,0.8128508502115414,0.629109166396332,39,39,39,22.660736322402954,,0.01,((4.999953641663472 + (0.3999502397228856 * (-4.543727322540949 + (0.8485018342746871 * x_2)))) + (((0.4999561348372693 * (-3.1650294675520123 + (0.6187740894529837 * x_1))) + (0.19995364166347196 + (0.5999528921307623 * (-6.146798559422659 + (1.0976425998969035 * x_3))))) + ((0.0001303683419949346 + (0.00956261767812056 * cos(((-0.01996827032752283 + (90.00000309648212 * (-3.689442089095961 + (0.6641659926365366 * x_0)))) + (0.010031729672477169 + (0.010012989164706092 * (-4.543727322540949 + (0.8485018342746871 * x_2)))))))) * (69.99999964535372 + (-79.99999965454994 * sin((0.8999920450037373 + (-6.000004206123168 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))))))),0.3093599021003645*x_1 + 0.3393585120234693*x_2 + 0.65853385233407643*x_3 + (79.99999965454994*sin(6.5858602162013906*x_3 - 37.78080925573152) + 69.99999964535372)*(0.00956261767812056*cos(59.77494139386641*x_0 + 0.0084960396728256861*x_2 - 332.10523227603098) + 0.0001303683419949346) - 1.8875230208729259
1028_SWD,ok,10,BFGS,0.1719152901310803,0.7350118806648525,28,28,28,29.881759881973267,,0.01,((0.1569438581686944 + (0.35280750182608045 * cos((-71.97863697611669 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))))) + (0.4029438581686945 + (2.568510553758433 * arctan(((8.429227951634664 + (0.04169150091948853 * (-2.9121760301824526 + (1.3867504905630728 * x_7)))) + (6.619227951634663 + (-8.416803457660158 * arctan((-0.9509034043515964 + (-64.09837672070172 * (-2.1689364464787513 + (0.972617240573431 * x_2)))))))))))),0.35280750182608045*cos(101.88490232541095*x_0 - 200.71325758105958) + 2.568510553758433*atan(0.05781570935241152*x_7 + 8.416803457660158*atan(62.34318629132516*x_2 - 138.07440202530351) + 14.927042913629263) + 0.5598877163373889
1029_LEV,ok,4,BFGS,0.16703229771570638,0.8859959156975377,56,56,56,19.676895141601562,,0.01,(0.7774627143532578 + (4.448712390501136 * ((0.10636542271486654 + (-0.7059175606808097 * sin((((69.51933425215675 + (0.13866181440439318 * ((-0.006326538700935372 + (-0.5107276888521152 * abs((-89.30009505646565 + (-0.0014863058760338475 * (-1.338219395737549 + (0.6915862510271571 * x_2))))))))**2)) * (4.860106620559788 + (48.620826468336475 * inv((-0.9652802701972609 + (-9.131488080939722 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))))) - ((-0.004685550618531998 + (0.16565704893826141 * (-1.490881128154221 + (0.7665198602335326 * x_1)))) + (-0.33100555061853204 + (16.298997915517123 * cos((-0.08575663356016505 + (-0.004622171458735717 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))))))))))))**2)),4.448712390501136*(0.7059175606808097*sin(0.12697941799885561*x_1 - (4.860106620559788 + 48.620826468336475/(11.615556580967598 - 6.586825576526105*x_3))*(0.13866181440439318*(-0.5107276888521152*Abs(0.0010279087086858831*x_2 + 89.298106053114343) - 0.006326538700935372)**2 + 69.51933425215675) + 16.298997915517123*cos(0.003382328198090623*x_0 + 0.079499326393697397) - 0.58266606924483821) + 0.10636542271486654)**2 + 0.7774627143532578
1030_ERA,ok,4,NoRef,0.034176815998838816,1.972730035264501,66,68,66,21.479320764541626,,0.01,((((0.597 + (-0.0087 * (-1.775251610451698 + (0.26918144207000727 * x_2)))) * (6.3100000000000005 + (-2.12 * sin((-0.025400000000000002 + (0.23700000000000002 * abs((-0.28 + (-88.5 * abs(((-0.00791 + (-0.47000000000000003 * (-1.775251610451698 + (0.26918144207000727 * x_2)))) * (-6.390000000000001 + (8.700000000000001 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))))))))))) - ((-0.684 + (-0.9570000000000001 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) * (0.38 + (0.77 * ((0.00179 + (1.54 * cos((0.0563 + (78.7 * (-1.6821592654348876 + (0.2229502008528678 * x_0))))))))**2)))) - (0.0795 + (-0.9820000000000001 * sin((4.98 + (3.5700000000000003 * abs((-0.233 + (-2.89 * (-1.4098777764544617 + (0.21377979931075994 * x_3))))))))))),(0.248753791795367*x_1 - 1.0411075461008703)*(0.77*(1.54*cos(17.5461808071207*x_0 - 132.32963418972566) + 0.00179)**2 + 0.38) + (0.0023418785460090631*x_2 - 0.6124446890109297)*(2.12*sin(20.974500000000002*Abs((2.261398107230609*x_1 - 22.072795873644277)*(0.12651527777290343*x_2 - 0.82645825691229811)) + 0.04096000000000001) - 6.3100000000000005) + 0.9820000000000001*sin(3.5700000000000003*Abs(0.61782362000809625*x_3 - 3.8415467739533945) + 4.98) - 0.0795
1096_FacultySalaries,ok,4,NoRef,0.721267298037354,2.4134456551382897,38,36,38,10.83949089050293,,0.01,((0.0177 + (0.735 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) + ((-0.00158 + (0.058600000000000006 * (-0.5619514869490163 + (2.341464528954235 * x_0)))) + (((0.013900000000000001 + (-7.346234106637792 + (0.09939270487749849 * x_2))) + ((83.8 + (5.37 * sin((-73.3 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))) + (-0.0009199999999999999 + (-3.24 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))) * ((0.09200000000000001 + (0.0033599999999999997 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) * (5.63 + (0.28700000000000003 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))))),0.13720982139671819*x_0 + 0.10643314282610956*x_1 - (0.00048655151006221512*x_1 + 0.063685134834808465)*(0.05085318748013272*x_3 + 3.0147731212515501)*(0.2226396589255966*x_2 + 5.37*sin(171.6293499723454*x_0 - 41.19104399336289) - 100.26854439886865) - 6.2106871120208635
1193_BNG_lowbwt,ok,9,NoRef,0.47672157131960824,524.1350504962634,93,85,93,22.455591440200806,,0.01,(((-35.300000000000004 + sqrt(((-0.00131 + (-6.92 * (-0.9231403599700084 + (0.7474820728502092 * x_8)))) - (((-74.4 + (-0.332 * sqrt((0.0942 + (0.0492 * sin((-0.08220000000000001 + (0.19 * (-4.341145088689214 + (0.03261568031203464 * x_2)))))))))) * ((0.0563 + (0.0318 * (-1.7565107319733801 + (1.3459852352286439 * x_3)))) + (83.4 + (0.0019299999999999999 * (-0.2412489548185819 + (4.386344633065126 * x_6)))))) - (-0.24000000000000002 + (2.85 * (-4.7670358854990456 + (0.20452064575820186 * x_1)))))))) * ((0.867 + (0.0848 * (-2.1712405933672376 + (2.631806779839076 * x_7)))) + ((1.6500000000000001 + (-0.465 * (-0.7018100265975371 + (2.126697050295567 * x_0)))) * (4.61 + (-0.502 * inv((7.34 + (18.2 * (-0.4860799579773197 + (1.7055437122011219 * x_5)))))))))) * (7.55 + (1.68 * sin((-0.436 + (-7.61 * (-0.8422598823413764 + (2.029541885159943 * x_4)))))))),((0.9889141283874387*x_0 - 1.9763416623678549)*(143.09852854109853*x_5 - 7.447680634213076) - (31.040895562060417*x_5 - 1.506655235187218)*(0.2231772149303536*x_7 + 0.68287879768245824))*(sqrt(0.58288384041087532*x_1 - 5.172575944123448*x_8 + (0.332*sqrt(0.0492*sin(0.006196979259286582*x_2 - 0.9070175668509507) + 0.0942) + 74.4)*(0.042802330480270879*x_3 + 0.0084656451418156928*x_6 + 83.399977348240452) - 7.4392309826798224) - 35.300000000000004)*(1.68*sin(15.44481374606717*x_4 - 5.973597704617875) - 7.55)/(31.040895562060417*x_5 - 1.506655235187218)
1196_BNG_pharynx,ok,10,NoRef,0.3742508428385697,303.02128978942545,63,63,63,33.042014837265015,,0.01,(((3.99 * (-0.9685432901733048 + (1.0249135345749258 * x_7))) * (((0.0036799999999999997 + (-1.3184242770282357 + (1.2437964877624863 * x_6))) * (-0.07740000000000001 + (-0.32 * (-1.020204061220407 + (2.000400120040014 * x_2))))) * ((42.0 + (-5.22 * (-1.3193830297679 + (0.5890102811463838 * x_0)))) - ((0.08660000000000001 + (0.19 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) + (-4.58 + (5.57 * (-1.3193830297679 + (0.5890102811463838 * x_0)))))))) + (((-4.36 + (-10.5 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))) + (-1.62 + (3e-05 * (-1.6870547845739468 + (2.279803762937766 * x_1))))) - ((-27.2 + (-25.400000000000002 * abs(((-0.0175 + (-0.00153 * (-1.3076038098835963 + (1.5659925866869417 * x_3)))) + ((0.10400000000000001 + (-23.3 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) - (0.0666 + (2.0 * tan((0.07650000000000001 + (-92.9 * (-0.4676211227230167 + (1.585156348213616 * x_5)))))))))))) + (-99.7 + (0.0035099999999999997 * (-1.4913495697629222 + (1.021472308056796 * x_8))))))),6.839411288813298e-5*x_1 - 10.761592113036721*x_7 - 0.0035853678012793537*x_8 + (0.6401280384128045*x_2 - 0.2490652995905302)*(1.2437964877624863*x_6 - 1.3147442770282357)*(4.0894050029539542*x_7 - 3.864487727791486)*(6.355420933569481*x_0 + 0.01634171927893813*x_4 - 61.73191734092809) + 25.400000000000002*Abs(0.0023959686576310206*x_3 + 53.11942767644995*x_9 - 2.0*tan(147.2610247490449*x_5 - 43.51850230096825) - 13.832951829706107) + 131.09488857216603
1199_BNG_echoMonths,ok,9,BFGS,0.1505731231109816,14.292511013555348,93,93,93,23.782902002334595,,0.01,((-0.6041952464988183 + (0.14990606466709455 * sin((((0.21540202850839507 + (-0.7018100265975372 + (2.1266970502955673 * x_0))) * (((0.20432222363657693 + (-1.7077351386697883 + (0.1433472945228545 * x_4))) - ((-0.20165222363657692 + (0.13005255518423378 * (-2.050416905868444 + (9.294535034379726 * x_3)))) - (0.10235222363657684 + (-0.008208362146163732 * inv(((91.4000000687448 + (66.00000004841252 * (-0.4525696378552518 + (2.66217434032501 * x_2)))) - (-0.008250068744791863 + (-0.02260058950310183 * (-6.139712387609727 + (1.3064991268887023 * x_5)))))))))) * (-94.99971687513097 + (-1.7751583441598446 * (-2.7393118696321914 + (0.1834262746734647 * x_6)))))) * (1.0167641183697727 + (-1.5279664765914374 * cos(((-79.888579995531 + (24.86068732999441 * ((1.778211587382478 * (-7.068403061162645 + (0.11366866615016445 * x_1))))**2)) + (-0.01767999553099918 + (-8.200306753181833 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))))))))))) * (((0.25078221422455527 * inv((0.019830596993393842 + (-0.7018100265975372 + (2.1266970502955673 * x_0))))) * (0.058452058102610165 + (5.003085439498277 * arctan((9.429944228755247 + (40.40003227106702 * (-0.5850486126764433 + (2.29430828500566 * x_8)))))))) + (-27.083420028055233 + (6.40790682749861 * arctan((0.0411345046142133 + (82.89997379115563 * (-0.7018100265975372 + (2.1266970502955673 * x_0))))))))),(0.14990606466709455*sin((1.0167641183697727 - 1.5279664765914374*cos(17.211971030745029*x_7 - 24.86068732999441*(0.20212693927053287*x_1 - 12.56911622764919)**2 + 54.729361315794597))*(2.1266970502955673*x_0 - 0.48640799808914213)*(-0.32561068202475644*x_6 - 90.137004552497281)*(-1.2087780304704635*x_3 + 0.1433472945228545*x_4 - 0.93274650995891592 - 0.008208362146163732/(175.7035065903332*x_2 + 0.029527650452972511*x_5 + 61.39989289779346))) - 0.6041952464988183)*(6.40790682749861*atan(176.30312973123051*x_0 - 58.13889830669186) - 27.083420028055233 + 0.25078221422455527*(5.003085439498277*atan(92.69012875400509*x_8 - 14.20603860351605) + 0.058452058102610165)/(2.1266970502955673*x_0 - 0.68197942960414336))
1201_BNG_breastTumor,ok,9,NoRef,0.009064128540634542,10.545972180841703,78,78,78,21.98094654083252,,0.01,(0.00889 + (0.0134 * abs(((((70.3 + (-0.933007822647968 + (1.6963778593599417 * x_1))) * (40.6 + (0.025800000000000003 * (-1.6200683918739798 + (1.270641875979592 * x_4))))) * (0.7260000000000001 + (-0.045200000000000004 * tan((30.7 + (-3.0100000000000002 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))))))) - (0.14 + (-5.12 * exp((0.00541 + (-0.00215 * abs(((-0.40800000000000003 + (0.005229999999999999 * (-1.2500406497455434 + (0.8064778385455118 * x_6)))) * (99.7 + (-0.022000000000000002 * arctan((((0.648 * (((-0.687 + (0.598 * (-5.513793854744495 + (0.10828748668207969 * x_0)))) * (0.16 + (-0.533 * (-1.061913167103641 + (2.0036097492521527 * x_5))))))**2) - ((-3.7800000000000002 + (-0.00394 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))) + (25.5 + (-0.038000000000000006 * (-0.75 + (2.0833333333333335 * x_8)))))) + (0.00917 + (-0.0053 * (-0.749436783737264 + (0.22607444456629383 * x_2))))))))))))))))))),0.0134*Abs((1.6963778593599417*x_1 + 69.366992177352)*(0.032782560400273477*x_4 + 40.558202235489653)*(0.045200000000000004*tan(7.2081594546745663*x_3 - 32.321835877301777) + 0.7260000000000001) - 0.14 + 5.1477742616361*exp(-0.00215*Abs((0.004217879095593026*x_6 - 0.41453771259816922)*(0.022000000000000002*atan(-0.0011981945562013573*x_2 + 0.0088746842363132482*x_7 + 0.079166666666666685*x_8 + 0.648*(0.064755917035883652*x_0 - 3.984248725137208)**2*(1.0679239963513974*x_5 - 0.7259997180662407)**2 - 21.737754149789997) - 99.7)))) + 0.00889
1203_BNG_pwLinear,ok,10,BFGS,0.19766492812455927,3.9309507200407476,96,96,96,27.00738549232483,,0.01,(((-0.05437945797975612 + (-0.11938591478582807 * (-0.07017213284715496 + (1.0024590406736422 * x_0)))) * (((((-3.6000584665260265 * cos((-85.00041069037904 + (0.103834826330233 + (1.2979353291279123 * x_9))))) * (0.9819095470550054 + (4.5096317635707255 * (0.23480352857641618 + (1.2692082625752226 * x_1))))) + ((3.2000039088963406 + (-66.69998788052615 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) * ((((0.004819209580056653 + (-0.018397292771819163 + (1.2264861847879442 * x_3))) * ((-0.38402592744125796 + (-0.0081554436432297 * sqrt((6.370000041593747 + (-0.001700027337218108 * (0.07462778926574919 + (1.2437964877624865 * x_6))))))) - (-31.09997407255874 + (0.00039172986133482573 * (-0.3106848830006 + (1.2427395320024 * x_5)))))) * (0.0033387494922133554 + (0.006399767623688327 * tan((48.098678649414474 + (5.858815174319196 * (-0.0689883074727411 + (1.1498051245456848 * x_7)))))))) * (0.1961175902348439 + (0.004524316724595537 * (0.10854662075011276 + (1.1425960078959239 * x_8))))))) - (0.027022554956808883 + (-9.299809546875572 * (-0.032157832069216574 + (1.286313282768663 * x_4))))) - (13.99902255495681 + (2.28012624933304 * (0.23480352857641618 + (1.2692082625752226 * x_1)))))) - (-0.13857007964372633 + (-4.04725496022103 * sin((0.11022010697921343 + (-5.00672383143988 * inv((0.5550488704405871 + (2.6543556737149547 * (-0.07017213284715496 + (1.0024590406736422 * x_0))))))))))),(-0.1196794896061464*x_0 - 0.046001893707325871)*(-2.8939550753681466*x_1 + 11.96246854736487*x_4 + (4.008919552700651 - 80.891564380431048*x_2)*(1.2264861847879442*x_3 - 0.01357808319176251)*(0.0051694662279796228*x_8 + 0.19660868952650196)*(0.006399767623688327*tan(6.7364957111982311*x_7 + 47.69448890674258) + 0.0033387494922133554)*(-0.00048681818454660636*x_5 - 0.0081554436432297*sqrt(6.369873172311879 - 0.002114488031132095*x_6) + 30.716069849663619) - 3.6000584665260265*(5.7236618954956375*x_1 + 2.0407869977216983)*cos(1.2979353291279123*x_9 - 84.89657586404881) - 14.860488512540848) + 4.04725496022103*sin(0.11022010697921343 - 5.00672383143988/(2.6608828422789327*x_0 + 0.36878707148106179)) + 0.13857007964372633
