dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,NoRef,0.6105626945515135,0.9075088306070763,85,20.46253228187561,,0.1,(((((-3.1650294675520123 + (0.6187740894529837 * x_1)) - (-7.97 + (-0.729 * (-4.543727322540949 + (0.8485018342746871 * x_2))))) + ((-0.0712 + (-0.0009599999999999999 * inv((-88.60000000000001 + (-67.7 * inv((-0.05380000000000001 + (0.08380000000000001 * ((0.5730000000000001 + (-62.9 * (-3.689442089095961 + (0.6641659926365366 * x_0)))))**2)))))))) * (0.0026999999999999997 + (-8.56 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))) * (0.896 + (-0.0882 * tan(((-40.7 + (-8.36 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - (-0.00773 + (-10.0 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))))) * (0.748 + (-0.058100000000000006 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))))
1028_SWD,ok,10,BFGS,-0.05218407413275461,0.8285196979940846,156,27.01103186607361,,0.1,((-0.052577407015126476 + (0.24065399206946456 * (-2.1689364464787513 + (0.972617240573431 * x_2)))) + (((-0.0008215475733680906 * (-2.9293890917537175 + (2.0064308847628203 * x_5))) * (((-0.002989957570960594 * (-2.3736872687394746 + (1.012233376861183 * x_4))) + (5.569999588519452 + (-0.0595999575709606 * (-2.3736872687394746 + (1.012233376861183 * x_4))))) + (1.0099995885194522 + (96.49999983172535 * cos((((41.50004754394126 * (-2.4841136395988146 + (1.2451697441598069 * x_3))) * (4.790413061767054 + (0.0064173338154516705 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))) + (((0.05360852976602116 + (-0.07749954838333577 * (-2.8621521711176414 + (1.2806049982629268 * x_1)))) + ((0.6590021827676869 + (0.1469999675620172 * inv((-69.30000000007081 + (-2.9121760301824526 + (1.3867504905630728 * x_7)))))) * (0.24800560248580314 + (0.0038515086068327447 * (-2.9293890917537175 + (2.0064308847628203 * x_5)))))) - ((-0.005968529766021153 + (0.3699819572768134 * (-2.9121760301824526 + (1.3867504905630728 * x_7)))) - (((-84.69999519930926 + (86.39998783492031 * (-2.566230515260939 + (1.2704111461687815 * x_8)))) * (0.5925496290494697 + (-0.028561702010150673 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))) - (-53.800008529766025 + (-9.069965529241248 * (-2.5904290116544066 + (1.3421911977483971 * x_6))))))))))))) + (3.8700225929848737 + (-0.8454645784703622 * sin(((3.225250498273506 + (51.694765783489224 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))) * (-64.90501908859964 + (-54.188115344874475 * (-2.7885115085974532 + (1.4154880754301793 * x_0))))))))))
1029_LEV,ok,4,BFGS,-0.15318750926470925,1.042479692239164,59,26.876978874206543,,0.1,(0.8509235050509798 + (0.010424083457006923 * abs(((49.99992642335874 + (-99.00001443392892 * sin(((0.5034124094692919 + (8.966097504293828 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))) * (0.9448742102709767 + (8.95529534784981 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))))) + ((-0.010073576641260292 + (-0.6002112252167472 * inv((0.0989184278716042 + (-0.8999792160953364 * cos((0.8990735084629007 + (0.8992326353536052 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))))))) + (-0.010073576641260292 + (0.09992842774790603 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))))
1030_ERA,ok,4,NoRef,0.11312738447260373,1.8903815342916102,72,22.047041416168213,,0.1,((0.00468 + (-0.7010000000000001 * cos(((-3.79 + (-0.0274 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) * (-84.0 + (0.42000000000000004 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))))) + ((0.09400000000000001 + (0.036300000000000006 * inv((0.0383 + (0.0274 * cos((((0.0089 * (-1.8026202153614108 + (0.2599308169230585 * x_1))) * (0.07930000000000001 + (5.17 * (-1.4098777764544617 + (0.21377979931075994 * x_3))))) + (80.3 + (-57.9 * (-1.6821592654348876 + (0.2229502008528678 * x_0))))))))))) - (-2.8000000000000003 + (-0.447 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))
1096_FacultySalaries,ok,4,BFGS,-0.0028796852701826747,4.577917677754911,82,13.66218090057373,,0.1,((9.037858076425733 + (0.0095165152976235 * (((64.61487309595154 + (0.2175888945625383 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) + (-4.35972690405224 + (-0.015059019422060645 * tan((-18.478169233805065 + (8.104584523939266 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))))))**2)) + (((-4.222309828862683 + (-0.5619514869490163 + (2.341464528954235 * x_0))) + (-9.76330982884854 + (-13.918088661592387 * inv(((-0.04182007562084718 + (-70.11527270315833 * (-9.112288776127002 + (0.17718880655098507 * x_3)))) + ((-0.010430075619230905 + (0.12288399771251722 * (-0.5619514869490163 + (2.341464528954235 * x_0)))) - (0.04202007562022765 + (0.03681600228695954 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))))))) * (-0.009299745043603716 + (0.016668734348027493 * (-7.346234106637792 + (0.09939270487749849 * x_2))))))
1193_BNG_lowbwt,ok,9,BFGS,0.4925239491911342,516.1602582663024,104,20.704817056655884,,0.1,((0.0923710713619739 + (0.7657821948071809 * (((57.109064727497376 + (-7.527471908183368 * (-0.7018100265975371 + (2.126697050295567 * x_0)))) + (0.0990647274973797 + (-7.661324416087465 * sin(((0.6388589267229039 + (8.232062486894689 * (-0.4860799579773197 + (1.7055437122011219 * x_5)))) + (0.648858926722904 + (-0.1921827694054688 * (-4.341145088689214 + (0.03261568031203464 * x_2))))))))))**2)) + ((0.012371071361973884 + (0.895686930753143 * inv(((1.0893184934593483 + (0.049697665887901754 * (-2.1712405933672376 + (2.631806779839076 * x_7)))) * (-4.000970862867936 + (-0.00970330463641937 * (-4.7670358854990456 + (0.20452064575820186 * x_1)))))))) + ((0.012371071361973884 + (0.01880505067804429 * (-0.9231403599700084 + (0.7474820728502092 * x_8)))) + ((0.012371071361973884 + (0.01945634900401715 * (-1.7565107319733801 + (1.3459852352286439 * x_3)))) + ((0.012371071361973884 + (0.021305426482885467 * (-0.8422598823413764 + (2.029541885159943 * x_4)))) + (0.012371071361973884 + (0.20143711059972397 * (-0.2412489548185819 + (4.386344633065126 * x_6)))))))))
1196_BNG_pharynx,ok,10,NoRef,0.2447421258066984,332.9052442736985,165,25.296386003494263,,0.1,(((-0.0373 * sqrt((0.09060000000000001 + (-0.00714 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))) - ((0.5720000000000001 + (0.11 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) * (((((0.56 + (-30.0 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) - (0.08080000000000001 + (0.154 * ((25.900000000000002 + (-32.5 * cos((-6.53 + (-8.26 * (-1.3076038098835963 + (1.5659925866869417 * x_3))))))))**2))) - ((-0.027500000000000004 + (-0.8580000000000001 * (-0.4676211227230167 + (1.585156348213616 * x_5)))) * (34.300000000000004 + (-0.006699999999999999 * (-1.6870547845739468 + (2.279803762937766 * x_1)))))) - (((51.9 + (-15.5 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) + ((-0.0014 + (-52.0 * tan((-5.63 * (-1.3193830297679 + (0.5890102811463838 * x_0)))))) + ((-0.008029999999999999 + (0.062200000000000005 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))) * ((-95.5 + (-70.3 * (-1.4913495697629222 + (1.021472308056796 * x_8)))) - (0.0853 + (0.0106 * (-1.4913495697629222 + (1.021472308056796 * x_8)))))))) - (0.00452 + (-6.71 * abs((-80.10000000000001 + (-0.396 * (-1.020204061220407 + (2.000400120040014 * x_2))))))))) - (-0.0106 + (-4.9 * (-1.3184242770282357 + (1.2437964877624863 * x_6))))))) + (-6.15 + (0.9 * ((0.024 + (2.39 * (-1.3076038098835963 + (1.5659925866869417 * x_3)))))**2)))
1199_BNG_echoMonths,ok,9,BFGS,-0.011432198938825744,15.596025045637774,140,30.688273906707764,,0.1,((-0.0016716989434545108 + (-0.05563119124935289 * (((0.628664741573439 + (0.15106848595313205 * abs(((((-79.19994654966109 + (-2.7393118696321914 + (0.1834262746734647 * x_6))) + (0.02765345033891167 + (41.69995550202997 * (-7.068403061162645 + (0.11366866615016445 * x_1))))) * (-0.0016747891294994974 + (-0.054314291707157854 * (-0.7018100265975372 + (2.1266970502955673 * x_0))))) - ((-0.0016168084342541647 + (5.819034662480686 * cos(((((-9.515483918198852 * (-3.0702386426579005 + (2.0989423382322308 * x_7))) * (-8.879343217768206 + (0.983225970628146 * (-2.050416905868444 + (9.294535034379726 * x_3))))) + (-43.9023223544482 + (-0.060168619784742694 * (-0.4525696378552518 + (2.66217434032501 * x_2))))) + (0.025877645551792543 + (-0.7257795540615763 * (-6.139712387609727 + (1.3064991268887023 * x_5)))))))) - (1.6808434254164575e-05 + (6.915667929077384 * (-1.7077351386697883 + (0.1433472945228545 * x_4))))))))) - (4.378335258426561 + (-23.698428321210702 * cos((-5.618899619382313 + (0.03212982912709221 * cos(((23.700962306179772 + (0.8554690487531139 * (-0.5850486126764433 + (2.29430828500566 * x_8)))) - ((-76.08260738432101 + (-0.05295602489710168 * (-2.050416905868444 + (9.294535034379726 * x_3)))) * (85.97303316890529 + (0.10479614765805587 * (-2.050416905868444 + (9.294535034379726 * x_3))))))))))))))**2)) * (-1.5524531294332646 + (0.05525736114975044 * (-1.7077351386697883 + (0.1433472945228545 * x_4)))))
1201_BNG_breastTumor,ok,9,BFGS,-0.032825702552728764,10.766569915264661,139,23.442444801330566,,0.1,((-0.002589817687581994 + (-0.19099730033494067 * tan(((-0.004766593789811801 + (0.06900552927126458 * (-0.75 + (2.0833333333333335 * x_8)))) + (-7.870006593789812 + (0.0015392605760609199 * (-0.933007822647968 + (1.6963778593599417 * x_1)))))))) + (-4.619999817687582 + (0.887999926548215 * abs(((((-0.04889983810766767 + (0.23799986621384103 * (-0.75 + (2.0833333333333335 * x_8)))) + (-0.20799983810766767 + (-4.059999921032326 * (-0.749436783737264 + (0.22607444456629383 * x_2))))) - ((-0.029300161892332338 + (-0.0014251912248132146 * (((-0.0009199380739004126 + (31.899999940214954 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))) - (7.5899999380739 + (-97.19999994192048 * sin(((-0.08440142848908243 + (-8.900093216005176 * inv((-0.12664584789678845 + (-0.007223794761567818 * (-0.6081636405595373 + (2.2524579279982864 * x_7))))))) - (0.9800014284890824 + (0.05490020293652835 * (-1.2500406497455434 + (0.8064778385455118 * x_6))))))))))**2)) - (-20.89999983810767 + (-0.0022985148202273875 * sqrt(((-8.820000000020304 + (0.0055500000013916015 * (-5.513793854744495 + (0.10828748668207969 * x_0)))) - (-6.099999999979697 + (-94.49999999998134 * cos((0.007019999403452434 + (-0.48900000063436705 * cos((-39.50000000004156 + (1.950000000052792 * (-1.6200683918739798 + (1.270641875979592 * x_4)))))))))))))))) + (47.70000016189234 + (-0.004010004381774149 * (-1.061913167103641 + (2.0036097492521527 * x_5)))))))))
1203_BNG_pwLinear,ok,10,BFGS,0.4413891148347818,3.2800042628753667,132,23.33746314048767,,0.1,(((((0.0014959815693802174 * (0.103834826330233 + (1.2979353291279123 * x_9))) * ((0.44002107249957295 + (0.0026406135780699075 * inv((0.6899998835338351 + (0.005710033891950096 * arctan((-0.30000000061027193 + (0.005249999941971694 * (-0.0689883074727411 + (1.1498051245456848 * x_7)))))))))) - ((-2.4000210724995727 + (0.0018219685663362919 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) + (-0.07312107249957299 + (53.6000062799521 * sin((-0.5552830576777233 + (53.5968601702991 * abs((-27.284831995099537 + (-6.338973997161546 * (0.23480352857641618 + (1.2692082625752226 * x_1))))))))))))) + (0.059689634469118485 + (0.7890428013511119 * (-0.032157832069216574 + (1.286313282768663 * x_4))))) - (-0.9212896344691185 + (-0.888024354649527 * tan(((0.0040588211553449025 + (-87.79835346251294 * (0.10854662075011276 + (1.1425960078959239 * x_8)))) - ((6.579741178844655 + (-7.708249197100882 * (0.07462778926574919 + (1.2437964877624865 * x_6)))) - ((-0.0038934894136355876 + (-0.023413572272949497 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))) * (-3.549976881221043 + (0.06730635941651698 * (-0.3106848830006 + (1.2427395320024 * x_5))))))))))) + ((3.980289634469118 + (-2.507916393111334 * (-0.07017213284715496 + (1.0024590406736422 * x_0)))) + (-5.609710365530882 + (0.07301213048726034 * (-0.3106848830006 + (1.2427395320024 * x_5))))))
