dataset,status,n_features,refinement_type,r2,rmse,complexity,expr,seconds,error,rows
1027_ESL,ok,4,NoRef,0.7426910392855111,0.7376656135370439,95,((((9.99 + sin((-0.09050000000000001 + (-93.4 * (-3.689442089095961 + (0.6641659926365366 * x_0)))))) - (-0.7260000000000001 + (-0.8340000000000001 * (-6.146798559422659 + (1.0976425998969035 * x_3))))) * ((0.887 + (0.0327 * (-3.689442089095961 + (0.6641659926365366 * x_0)))) - (0.4 + (0.061200000000000004 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))))) - (((6.42 * inv(((9.86 + (-0.051300000000000005 * (-4.543727322540949 + (0.8485018342746871 * x_2)))) - ((94.8 + (-8.26 * (-4.543727322540949 + (0.8485018342746871 * x_2)))) * (4.12 + (-8.34 * (-6.146798559422659 + (1.0976425998969035 * x_3)))))))) - (-0.007899999999999999 + (0.873 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))) + (0.030500000000000003 + (-0.371 * (-4.543727322540949 + (0.8485018342746871 * x_2)))))),9.146984815597534,,200
1028_SWD,ok,10,NoRef,0.02832866673280865,0.7961899131636344,142,((-0.023100000000000002 + (-6.7 * (((0.033800000000000004 + (-0.0018599999999999999 * (-2.1689364464787513 + (0.972617240573431 * x_2)))) * (((-1.83 * cos((((-5.88 + (-26.6 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) * (4.3100000000000005 + (0.00919 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))) - (-0.07440000000000001 + (-0.00031999999999999997 * arctan((-7.54 + (-0.598 * inv((-30.8 + (0.5760000000000001 * (-2.9121760301824526 + (1.3867504905630728 * x_7))))))))))))) * (5.75 + (0.0845 * inv(((6.84 + (-0.48300000000000004 * sqrt(((0.00145 + (0.008969999999999999 * (-2.3736872687394746 + (1.012233376861183 * x_4)))) + (0.41300000000000003 + (-0.017400000000000002 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))))))) * (0.021 + (0.00217 * (-2.5904290116544066 + (1.3421911977483971 * x_6))))))))) + ((-0.046000000000000006 + (-0.00314 * (-2.4841136395988146 + (1.2451697441598069 * x_3)))) * (0.0044399999999999995 + (0.0093 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))))))**2)) - (-4.18 + (0.00514 * sqrt(((9.17 + (-0.017400000000000002 * (-2.9293890917537175 + (2.0064308847628203 * x_5)))) - (0.0012 + (-1.24 * (-2.566230515260939 + (1.2704111461687815 * x_8))))))))),9.648173570632935,,200
1029_LEV,ok,4,BFGS,1.0038260164213497e-06,0.970772400717265,108,(1.7402835437948625 + (0.0003334426055523147 * cos((((((-1.490881128154221 + (0.7665198602335326 * x_1)) * ((-0.040305806253768915 + (0.026834526095159007 * inv(((0.04922534479497429 + (-5.639816781304427 * (-1.338219395737549 + (0.6915862510271571 * x_2)))) + (((0.08659205619170873 * (-1.3777422408758337 + (0.721331016165358 * x_3))) - (0.010284655204938748 + (-7.8911039343721034 * sin((-5.228706200763622 + (92.09852212053387 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))))) + (-0.014874655204927496 + (0.05249205619180708 * (-1.3777422408758337 + (0.721331016165358 * x_3))))))))) * (62.199304670503395 + (0.671259881404087 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))))) * (-1.0110055741819588 + (-0.5542914924853312 * (-1.3777422408758337 + (0.721331016165358 * x_3))))) * (-0.0004493312926015416 + (0.010615970532096104 * (-1.3537592065395143 + (0.7317617332646023 * x_0))))) + (-8.837134510596949 + (-0.04835629953302943 * exp((-1.650301933471544 + (-8.84885471108407 * sin((-50.388196787610674 + (54.87295486073052 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))))))))),4.872486591339111,,200
1030_ERA,ok,4,BFGS,6.033902245627942e-07,2.007329711012746,89,(((0.4493794837598278 + (-1.594530670433734e-07 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))) - (-3.119539480826765 + (1.0702387779620047e-05 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))) - ((-1.2965394795999037 + (-59.46325410264625 * (((0.020824421698445544 + (0.0002769945274918457 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) - (0.020505523158038698 + (1.840002149103336e-05 * cos((-9.102981684591828 + (-6.493575145099749 * ((-0.5727839370253549 + (50.20435416679821 * ((-0.5659220718730683 + (-0.42698676848217143 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))**2)))**3)))))))**2)) - (-0.5404605131481238 + (-0.9584430505405931 * (((-0.01215842105682154 + (-0.01845621866570111 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))) * (0.1663974684650171 + (-97.80000537563829 * exp((-8.69947426256801 + (0.9302045102389039 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))))))))**2)))),6.292927265167236,,200
1089_USCrime,ok,13,NoRef,0.7205192649335896,20.86584323828107,118,((74.4 + (-3.21 * ((-0.794 * (-33.7203149501655 + (0.034302731541010746 * x_7))))**2)) + ((82.9 + (-0.00906 * (-2.900487776971993 + (0.03615033824388323 * x_1)))) * (((-3.22 + (0.7030000000000001 * (-5.503759593019279 + (0.010475709750613781 * x_12)))) * (((0.00812 + (8.47 * arctan((((-0.7184212081070996 + (2.1103622988146054 * x_2)) - (-0.00108 + (-5.93 * (-2.891046871531103 + (0.03401231613566004 * x_4))))) + ((0.7230000000000001 + (-2.71 * (-14.0369497167738 + (0.025012762992431322 * x_6)))) + (6.22 + (-14.700000000000001 * inv((-0.00647 + (-6.26 * (-0.7184212081070996 + (2.1103622988146054 * x_2)))))))))))) * ((0.00243 + (0.003 * (-11.14550403938847 + (0.08042970825291848 * x_1)))) - (0.00116 + (0.005 * (-2.3654559044503354 + (0.02613517658353093 * x_0)))))) - (0.532 + (-0.030000000000000002 * (-9.545041630608711 + (0.09035588250525868 * x_7)))))) - (0.215 + (-0.065 * (-0.9940886672167607 + (0.009830037315208867 * x_7))))))),9.789132118225098,,47
1096_FacultySalaries,ok,4,NoRef,0.7473330153032556,2.2978295514441234,72,(((0.0043 + (1.94 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) + (41.5 + (0.005 * (-9.112288776127002 + (0.17718880655098507 * x_3))))) - (((-3.6 + arctan((0.8 + (0.679 * sin(((-0.0614 + (-0.0072499999999999995 * (-0.5619514869490163 + (2.341464528954235 * x_0)))) + (-0.06960000000000001 + (-0.7170000000000001 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))))))) - (-0.9510000000000001 + (93.60000000000001 * cos((46.300000000000004 + (61.2 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))))) * (0.024 + (0.023500000000000004 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))),4.468673467636108,,50
1191_BNG_pbc,ok,18,BFGS,6.557639986581876e-10,1070.6175458848709,163,(((3.034873384975402e-05 * (-1.1957481001996708 + (1.0821249775562631 * x_17))) - ((-1.2391483609688452 + (9.927263360529943e-05 * (-0.323994406881674 + (3.410467440859726 * x_3)))) - ((1.0287983609686042 + (0.0010933947249564201 * (-4.926494499461733 + (0.0981551901406163 * x_2)))) - ((-1.3017983609686303 + (2.553175850855517 * (-0.778529698598218 + (0.2164645227567239 * x_3)))) + (((2.8526715498790645 + (-0.778529698598218 + (0.2164645227567239 * x_3))) + (-21.548458450117344 + (-1.0812875619157147 * (-0.778529698598218 + (0.2164645227567239 * x_3))))) * ((9.712150992049379 + (-5.90227764722329e-05 * (-4.926494499461733 + (0.0981551901406163 * x_2)))) + ((99.94215099203527 + (68.80014194811592 * sin((0.6683118133268137 + (-5.392103020195342 * (-2.0 + (2.5 * x_6))))))) - (-4.545650992039012 + (13.400164826802909 * arctan(((-44.9999916849048 + (90.10120226059789 * (((-0.1398575324188913 + (62.00598585997041 * (-0.778529698598218 + (0.2164645227567239 * x_3)))) * (-51.00419553554387 + (-2.0912785977259714 * (-3.280961121737492 + (3.5857498598223954 * x_4))))))**2)) + ((15.00000831509519 + (-0.0070657698479891125 * (-0.693888666488711 + (2.135042050734495 * x_2)))) + ((-0.0004216849048049735 + (0.003800821322742544 * (-7.344633621838255 + (2.113704661057214 * x_10)))) - (57.3999916849048 + (-0.04599536246947795 * (-1.1957481001996708 + (1.0821249775562631 * x_17))))))))))))))))) + ((3.2220334192637394 + (42.39860352045337 * ((0.10050381246464037 + (-1.1055415967851332 + (2.0100756305184238 * x_0))))**2)) * (28.335643850306038 + (-1.4806004109583662e-06 * (-1.184216808250779 + (0.014324939453505742 * x_11)))))),11.375157356262207,,200
1193_BNG_lowbwt,ok,9,BFGS,0.4800112032872248,522.4849444315611,120,(((-0.6399952288545281 + (41.00000201846985 * (-0.8422598823413764 + (2.029541885159943 * x_4)))) - ((-38.400004771145476 + (-0.002836642627286641 * ((9.279998762264524 + (0.06799964872190717 * (-0.4860799579773197 + (1.7055437122011219 * x_5)))))**3)) - (((77.3999994587089 + (-0.9231403599700084 + (0.7474820728502092 * x_8))) + (-8.670000541291092 + (-0.0007392256944915445 * (((0.0877030292502752 + (-4.049949363890103 * sin(((78.5005193456837 + (-0.0011082012354045282 * ((-0.008159938846387306 + (0.08999996117506438 * (-4.7670358854990456 + (0.20452064575820186 * x_1)))))**2)) - (-0.8775193456837103 + (29.800414055815857 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))))) + (85.70000302925028 + (0.36985528951757846 * tan((0.21282902828840686 + (-30.299855804922927 * (-0.2412489548185819 + (4.386344633065126 * x_6)))))))))**3))) * ((0.09580030494757899 + (0.0059912254620462495 * ((0.06779844698442383 * (-4.341145088689214 + (0.03261568031203464 * x_2))))**2)) + (-0.36989969505242104 + (-9.299941719274772 * sqrt((0.5312922993615558 + (-0.17889599155309863 * (-0.7018100265975371 + (2.126697050295567 * x_0))))))))))) - (0.5829952288545281 + (0.060202423353895335 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))),14.02579379081726,,200
1196_BNG_pharynx,ok,10,NoRef,0.19897465964123273,342.8436683681137,155,((7.43 + (58.4 * abs(((-0.08600000000000001 + (-9.66 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) - (0.00838 + (4.41 * sin(((0.00675 + (-2.2800000000000002 * (-1.3193830297679 + (0.5890102811463838 * x_0)))) + (((2.1 + (-1.3076038098835963 + (1.5659925866869417 * x_3))) - ((0.931 + (0.398 * (-1.020204061220407 + (2.000400120040014 * x_2)))) + (9.25 + (-0.00037999999999999997 * (-1.4913495697629222 + (1.021472308056796 * x_8)))))) * ((0.0388 + (5.63 * (-1.3184242770282357 + (1.2437964877624863 * x_6)))) - ((((-89.4 + (-0.5927489783638191 + (2.279803762937766 * x_9))) - (-0.00705 + (0.5680000000000001 * (-5.275654998591812 + (0.08600904883651646 * x_4))))) * (0.0646 + (-50.800000000000004 * (-1.6870547845739468 + (2.279803762937766 * x_1))))) + (0.0052499999999999995 + (9.18 * inv((-0.039 + (0.93 * (-5.275654998591812 + (0.08600904883651646 * x_4)))))))))))))))))) + ((((-0.859 + (-74.4 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))) + (0.032 + (69.5 * tan((-0.0485 + (-5.1000000000000005 * (-0.4676211227230167 + (1.585156348213616 * x_5)))))))) - (-0.00312 + (-82.60000000000001 * (-1.4913495697629222 + (1.021472308056796 * x_8))))) * (0.42000000000000004 + (-0.008159999999999999 * (-5.275654998591812 + (0.08600904883651646 * x_4)))))),12.416307210922241,,200
1199_BNG_echoMonths,ok,9,BFGS,0.02308417814214947,15.32759822734068,152,(23.71421458826949 + (-2.586566577610958e-05 * ((((-2.9940244010816706 + (-6.144619844916314 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))) * (-0.061597523908095836 + (-9.404846828930063 * (-7.068403061162645 + (0.11366866615016445 * x_1))))) - (63.33688087861084 + (-175.50909330703035 * inv((1.239581427763124 + (-0.007662548621653545 * ((((0.1855633511361278 + cos(((50.64101517278278 + (9.807398434065382 * (-0.4525696378552518 + (2.66217434032501 * x_2)))) * ((((-92.22865038102964 + (-6.471877496720018 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))) - (0.3646499651291363 + (0.3072196757017313 * (-0.5850486126764433 + (2.29430828500566 * x_8))))) - (-0.10174944338297429 + (58.97348055864573 * (-2.7393118696321914 + (0.1834262746734647 * x_6))))) * (-0.00812564003850347 + (0.7312436285674757 * (-1.7077351386697883 + (0.1433472945228545 * x_4)))))))) + (0.22865350984162164 + (-0.8797448171183592 * (-6.139712387609727 + (1.3064991268887023 * x_5))))) * ((-0.28771943698135255 + (-3.2250420584696697 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))) - (0.7353898335042388 + (-0.8226061418884592 * inv((0.17229863711245064 + (-0.763223528177849 * inv((0.9760965455765506 + (0.1929747666865273 * inv(((-2.2366653507052567 + (-1.845965208606344 * (-0.4525696378552518 + (2.66217434032501 * x_2)))) + ((6.574034814317559 + (-0.5026477068795497 * (-2.050416905868444 + (9.294535034379726 * x_3)))) - (1.5519654252324364 + (1.1262184512999134 * (-7.068403061162645 + (0.11366866615016445 * x_1))))))))))))))))))**3)))))))**2)),10.841168880462646,,200
