noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.903356,0.026147,119,119,0.7815,27.949580,73.140315,119,37.105353,3341.047531,119
0,Strogatz,0.951610,0.003694,14,14,0.9286,19.928571,27.066327,14,33.577071,1884.668006,14
0,Black-box,0.707466,0.043976,88,134,0.2159,38.443182,134.474044,88,130.523523,15177.340102,88
0.001,Feynman,0.897934,0.028074,117,119,0.7778,27.324786,61.296223,117,36.159504,3017.110067,117
0.001,Strogatz,0.955185,0.008696,14,14,0.9286,21.857143,35.979592,14,17.534714,187.289774,14
0.001,Black-box,0.717431,0.042753,88,134,0.2500,36.829545,121.482309,88,120.002307,11851.114195,88
0.01,Feynman,0.902177,0.026527,118,119,0.7542,27.652542,72.464019,118,34.415653,2314.180547,118
0.01,Strogatz,0.941919,0.005680,14,14,0.8571,21.928571,33.637755,14,40.553500,2921.588356,14
0.01,Black-box,0.735673,0.042521,87,134,0.2759,37.724138,135.211256,87,123.570575,12800.502397,87
0.1,Feynman,0.876671,0.025249,119,119,0.7059,27.957983,61.216722,119,51.201664,4205.345834,119
0.1,Strogatz,0.934127,0.007463,14,14,0.8571,22.928571,34.780612,14,43.105571,3552.552162,14
0.1,Black-box,0.673364,0.038702,88,134,0.1364,36.806818,138.724044,88,134.756977,11728.276270,88
