dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,60,2,BeamBFGS,0.8905535215655095,,27.0,28.014,,0.01,(0.9427037841847731 add (((0.31358812075292897 mul (x_1 mul x_2)) sub ((5.9294717220869995 mul x_1) add (1.5122482690735712 mul x_0))) mul (((-0.021458440130055895 mul x_3) sub (0.01935526475437608 mul x_2)) sub (-0.015379124993526887 mul x_1))))
1028_SWD,ok,10,30,1,BeamBFGS,0.31183641106996407,,40.0,10.090,,0.01,(3.0448650296155804 add ((0.4446764349325316 mul x_8) add (-4.923929958407203 mul (((((-5.988246790779788 mul x_0) sub (2.977098161956782 mul x_1)) add (4.947191328636532 mul x_7)) mul exp(((-1.2109279665962294 mul x_2) add (-0.8777710329064836 mul x_6)))) mul (((-0.016461513733700733 mul x_3) add (-0.17763765807821935 mul x_5)) sub (-0.03517966537424286 mul x_4))))))
1029_LEV,ok,4,120,3,BeamBFGS,0.6153238226383635,,34.0,50.514,,0.01,(-13.27375568132749 add ((((0.43305748040796205 mul x_1) add (0.6527290852685236 mul x_2)) sub (-32275.357334354765 mul inv((2061.644072468436 add (77.91032648500996 mul x_2))))) sub (-19477.76033332261 mul (inv((4584.286475429677 add (491.82718624582145 mul x_3))) mul cos((83.91447764941934 add (-0.0816331666762505 mul x_0)))))))
1030_ERA,ok,4,480,5,BeamBFGS,0.3573983312036554,,27.0,224.524,,0.01,(2.894865526394407 add ((0.7628254033162897 mul arctan((-24.715327206273212 add (2.802949318382111 mul x_1)))) sub (((-0.1549654248382905 mul x_0) sub (0.028060014597122814 mul x_2)) sub (-4.928971134810891 mul cos((1.6343325935799304 add (-72.25361511727428 mul x_3)))))))
1089_USCrime,skipped_too_many_features,13,,,,,,,0.000,Dataset has 13 features but checkpoint supports <= 10 features,0.01,
1096_FacultySalaries,ok,4,480,5,BeamBFGS,0.9469753638214432,,36.0,226.560,,0.01,(1.1967273221265342 add (((0.3177466988639244 mul ((-0.4531271232554074 add (0.49680993529904355 mul (sin((12.012663066821435 add (1.038959226038413 mul x_3))) mul ((-118.05846210684484 mul ((0.5704889556647854 add (-0.003371823390150113 mul x_0)))**3) sub (-0.407965897267153 mul x_1))))))**3) add (-0.6922860554509397 mul x_2)) add (1.6025312773282976 mul x_1)))
1191_BNG_pbc,skipped_too_many_features,18,,,,,,,0.000,Dataset has 18 features but checkpoint supports <= 10 features,0.01,
1193_BNG_lowbwt,ok,9,480,5,BeamBFGS,0.6515730117757194,,62.0,336.895,,0.01,(2723.6903955418225 add (((-253.60351223292267 mul x_5) add ((-252.15274708760754 mul x_6) sub (-289.7035098094443 mul x_7))) sub (((0.11281805581459797 mul ((((-0.22683372806594046 mul ((31.87289157063741 add (1.4054303559051888 mul x_3)))**2) add (2.2456907298489264 mul x_8)) mul inv((-0.04067399810744439 add (0.312525181255644 mul x_0)))) mul ((0.7577663545336796 mul x_4) sub ((9.849564642130652 mul x_0) sub (-0.23126268787387647 mul x_3))))) add (-48.58810393805543 mul (x_1 mul arctan((0.09500266704809529 add (0.19635535826762474 mul x_5)))))) sub (1.5528862487532038 mul x_2))))
1196_BNG_pharynx,ok,10,120,3,BeamBFGS,0.5016098818875722,,48.0,74.558,,0.01,(265.36674211843746 add (((-0.907444026544963 add (0.10798480449581595 mul x_5)))**3 mul (((-32.58249778933791 mul x_6) add ((9.52839207873477 mul x_3) add ((10.618382216709783 mul x_2) add (15.983251060029717 mul x_8)))) add (((((-885.884085369191 mul x_9) sub (4.799537959795983 mul x_4)) add ((-7.4060558041783215 mul x_0) sub (-132.4665611210136 mul x_7))) add (-64.68254678362938 mul x_6)) sub (-11.324126491044842 mul x_1)))))
1199_BNG_echoMonths,ok,9,480,5,BeamBFGS,0.41925416568215335,,48.0,326.681,,0.01,(44.65620268346186 add (((-6.017570688935509 mul x_8) sub ((-0.14599078219553902 mul x_6) sub (0.037487369088800106 mul (x_7 mul (((-3.429863401501366 mul x_4) add (96.50396524209322 mul x_5)) add (-1.0703528030347789 mul abs(((8.226058419027611 mul x_1) sub (16.291029342635518 mul x_7))))))))) add ((-6.1254396599417165 mul x_5) add ((-12.787406276796837 mul x_0) add ((0.26402170633907446 mul x_1) add (-4.6505446196665625 mul x_2))))))
1201_BNG_breastTumor,ok,9,480,5,BeamBFGS,0.1547190632726515,,40.0,307.051,,0.01,(25.751696669848315 add (arctan((-132.90917822325585 add (133.88006537168542 mul x_8))) mul (((0.013769439379638794 mul (x_2 mul ((14.224132782366697 mul x_1) sub (22.49999225116399 mul x_6)))) sub ((-0.9875364847124163 mul x_4) sub ((0.9974527021807976 mul x_6) add (-0.037507609231353156 mul ((x_3 mul x_0) mul x_7))))) sub (0.3181429235717919 mul x_5))))
1203_BNG_pwLinear,ok,10,480,5,BeamBFGS,0.5177372234265629,,44.0,344.993,,0.01,(-0.5927274038224264 add ((0.5190009265207329 mul x_5) add ((1.511346492950679 mul x_4) add ((-2.447295143622059 mul x_0) sub (((-0.5728951909050047 mul x_2) add (1.9436105871018963 mul (((8.861771618064331 mul (x_6 mul (x_3 mul inv((21.817648296861453 add (5.509958227753834 mul x_8)))))) add (-0.028834415874021174 mul (x_1 mul x_3))) mul x_9))) add (-0.2726929116237087 mul x_7))))))
192_vineyard,ok,2,120,3,BeamBFGS,0.7797810456235701,,39.0,46.961,,0.01,(0.5173827104406001 add ((24.60797587707787 mul arctan((-0.1833911505557214 add (0.19953340413576984 mul x_1)))) add (-0.13163988805029217 mul (((-2.735522521555027 mul cos(((19.007194695946463 mul x_1) add (-12.303373729732073 mul inv((-70.04097590249532 add (76.1769932910257 mul x_0))))))) add (-89.13148735056511 mul inv((-6.227760101585111 add (-2.8833657448918215 mul x_0))))) mul x_1))))
197_cpu_act,skipped_too_many_features,21,,,,,,,0.000,Dataset has 21 features but checkpoint supports <= 10 features,0.01,
201_pol,skipped_too_many_features,48,,,,,,,0.000,Dataset has 48 features but checkpoint supports <= 10 features,0.01,
210_cloud,ok,5,480,5,BeamBFGS,0.9120233508451712,,34.0,238.319,,0.01,(-0.05219898645134329 add ((0.47548305316212625 mul x_3) add ((-2.1949485128778e-07 mul (arctan((-154.74971596618013 add (77.53562898745561 mul x_1))) mul (((66.56413225847554 mul x_3) sub (-887.0007436768931 mul (x_4 mul inv((-21.723271059604258 add (2.7381540802020448 mul x_0)))))))**3)) sub (-0.49455046898214367 mul x_2))))
215_2dplanes,ok,10,480,5,BeamBFGS,0.6828776429768291,,53.0,297.552,,0.01,(-0.15418290480832758 add (((0.2224993000550325 mul x_9) sub (((((((-2.8800063185827094 mul x_0) sub (0.7327880998589436 mul x_5)) sub (-0.8277394520782732 mul x_7)) sub (0.20181588047622553 mul x_8)) sub (-5.3091782039761775 mul (x_4 mul ((0.06060638203928076 mul x_9) add (-0.02303579067744536 mul x_6))))) sub (0.9522605479217261 mul x_7)) sub (1.8304928366983586 mul x_1))) add (((0.8572177861172319 mul x_3) sub (0.00018411952377485062 mul x_8)) sub (-1.1884288597840058 mul x_2))))
218_house_8L,ok,8,240,4,BeamBFGS,0.6963261699397725,,61.0,151.303,,0.01,(-186891.1536853864 add (((129.49679775999877 mul ((25.190197914049538 add (-0.05820667442861779 mul (x_5 mul ((-9.417068912596184 mul (inv((15.686790835094087 add (0.021213185041311866 mul x_0))) mul ((83415.84267022718 mul x_1) sub ((4421.060968284048 mul x_3) add (-54.49204870742685 mul abs((-52.50703821824835 add (150.70201487425695 mul x_2)))))))) add ((-393.65734876338206 mul x_7) sub ((-0.015814677154161006 mul ((-27.910982515100812 add (173.0950002725508 mul x_4)))**2) sub (195.42414139491518 mul x_3))))))))**2) sub (-25489.915438132266 mul x_6)) add (119147.92748549873 mul x_5)))
225_puma8NH,ok,8,480,5,BeamBFGS,0.45353461163477793,,38.0,302.707,,0.01,(5.832153243976141 add ((((-0.7643450239559534 mul abs((-4.777478317537114 add (5.467165570093333 mul x_1)))) sub (-0.3826101833736441 mul x_7)) add (((-0.6608497753739 mul x_5) add ((-0.024547609007435828 mul x_3) sub ((0.48967275430841717 mul x_0) sub (-0.11618008044099563 mul x_4)))) add (-0.9461579634133892 mul x_6))) add (1.570809311829879 mul x_2)))
227_cpu_small,skipped_too_many_features,12,,,,,,,0.000,Dataset has 12 features but checkpoint supports <= 10 features,0.01,
228_elusage,ok,2,240,4,BeamBFGS,0.8597346823576392,,26.0,96.059,,0.01,(-27.51036661677972 add ((-13.644826565050877 mul (tan((-220.3158588903754 add (7.0977094598954915 mul x_0))) mul exp((-195.981217788812 add (17.372288452900207 mul x_1))))) add (71.64361335470282 mul inv((0.05533427739805725 add (0.01956717188046468 mul x_0))))))
229_pwLinear,ok,10,120,3,BeamBFGS,0.7285774510631119,,49.0,72.490,,0.01,(-0.26910722573962675 add ((0.0354623844042524 mul ((x_5 mul x_6) mul (((-13.337508733870663 mul x_4) add (-3.4677283534827814 mul x_1)) sub (18.095394378309297 mul x_2)))) sub (((-1.329714176034888 mul x_1) sub ((-2.506979110694959 mul x_0) add ((((0.5969921720652754 mul x_3) add (2.136750268790678 mul x_4)) sub (-0.06340669551074703 mul (x_7 mul x_8))) add (1.3913109911611865 mul x_5)))) add (-0.16687171449608498 mul x_9))))
230_machine_cpu,ok,6,60,2,BeamBFGS,0.9325443194464725,,45.0,38.827,,0.01,(4.596800807263121 add ((0.010811907625378593 mul x_1) sub (((-38178701.341716394 mul inv((-53963.447180114636 add (40403.275607056145 mul x_0)))) sub (3.02562259062348 mul x_4)) add (-0.45855232078263225 mul ((((8.281535772191948e-05 mul x_3) sub (6555114.611400849 mul inv((((-112936395.54126498 mul x_0) sub (-9300049.524097985 mul x_5)) add (22323.783769184105 mul x_2))))) add (1.0355436734266983e-05 mul x_0)) mul x_2)))))
344_mv,ok,10,60,2,BeamBFGS,0.9755019191906591,,36.0,25.173,,0.01,(-0.6996634905197533 add ((((10.950543954243122 mul x_0) add (-0.45748612500805586 mul x_1)) add (-6.053307029069442e-07 mul exp((19.853440339095886 add (-36.05162330342241 mul x_7))))) mul ((-0.0037754542703856745 mul x_5) sub ((0.0004186689015503271 mul x_3) sub (-1.2662164348451044e-05 mul (x_6 mul (x_4 mul (x_8 mul x_2))))))))
485_analcatdata_vehicle,ok,4,120,3,BeamBFGS,0.7653749297829189,,54.0,51.059,,0.01,(634.1431500103957 add ((-88.61359409245823 mul sin(((-38.91577736142383 mul x_3) add ((-4.79577736194891 mul x_3) sub (82.81577736176627 mul x_3))))) add (((0.34742091068197717 mul (((0.5438024113579857 mul (((481.8537500584729 mul x_2) sub (365.1774725946899 mul x_0)) mul x_3)) add (2.809062644835998 mul inv((-0.002518684664692865 add (-0.0020003333091003508 mul x_0))))) mul x_2)) add (-14.686438712171453 mul ((-2.2111240538592294 add (7.986079673913764 mul x_0)))**2)) sub (-115.79384062027745 mul x_1))))
505_tecator,skipped_too_many_features,124,,,,,,,0.000,Dataset has 124 features but checkpoint supports <= 10 features,0.01,
519_vinnie,ok,2,480,5,BeamBFGS,0.7740141756582855,,28.0,220.621,,0.01,(13.096905105584906 add ((68.20850468650514 mul (inv((-162.6492671652123 add (0.07564824644841589 mul (x_0 mul x_1)))) mul ((5.958981796999301 add (-0.23906061804425885 mul x_1)))**2)) sub (-0.26079609467114767 mul cos((95.82941205522921 add (-1.5868322745607522 mul x_0))))))
522_pm10,ok,7,120,3,BeamBFGS,0.245808386259304,,34.0,50.151,,0.01,(1.4790822814108184 add (((-0.17591937172415528 mul x_2) sub ((-0.04634311804308728 mul x_3) sub ((0.33233718788520095 mul x_0) add (0.0014633613340115197 mul (x_2 mul (x_1 mul x_2)))))) add (740794.8266054266 mul (x_1 mul inv((-532420.1908625942 add (-370313.4174715783 mul (x_4 mul x_5))))))))
523_analcatdata_neavote,ok,2,30,1,BeamBFGS,0.9540773546124395,,21.0,8.852,,0.01,(9.655221107828705 add (inv((-15.792565364962567 add (72.28610604495921 mul x_0))) mul ((-88.06063866588705 mul sin((-35.19560109606771 add (-3.081192907521691 mul x_1)))) add (-485.75080200774204 mul x_0))))
527_analcatdata_election2000,skipped_too_many_features,14,,,,,,,0.000,Dataset has 14 features but checkpoint supports <= 10 features,0.01,
529_pollen,ok,4,60,2,BeamBFGS,0.8323246744541315,,26.0,30.378,,0.01,(0.02995693652752882 add ((((-0.030934161920265487 mul x_2) sub ((0.3541325832636401 mul x_3) add (-0.16274225635005016 mul inv((-0.7415232585438744 add (-2.0964441864993746 mul x_0)))))) add (-0.8212968976534105 mul x_0)) sub (-0.2617069304164073 mul x_1)))
537_houses,ok,8,120,3,BeamBFGS,0.6838530388663129,,59.0,65.808,,0.01,(33588533.420901276 add ((-25345.294820048457 mul x_7) add (((((-155.97301135123143 mul ((751.2052499447567 add (-0.2233216706599811 mul x_0)))**2) sub (-24.906551101985244 mul x_5)) sub ((66.35494108175314 mul ((-1190.5104096710556 add (0.007584989199001704 mul x_1)))**2) sub (((3.709728331933623 mul ((5114.401122174397 add (-1.6704745910827934e-05 mul (x_6 mul x_3))))**2) sub (23669.28719511276 mul x_6)) add (118.37779416525731 mul ((644.7468697155365 add (-0.0002489057240948609 mul x_4)))**2)))) add (231.86950906266233 mul x_3)) add (-19.965536741390615 mul x_2))))
542_pollution,skipped_too_many_features,15,,,,,,,0.000,Dataset has 15 features but checkpoint supports <= 10 features,0.01,
547_no2,ok,7,120,3,BeamBFGS,0.4705280983286909,,30.0,48.647,,0.01,(0.5961516680648964 add ((-4.789423241299689 mul (inv((-51.04881635470585 add (-0.4208529419237048 mul x_5))) mul (((-1.4529519550977026 mul x_2) add ((-0.15489216073115575 mul x_1) sub (-5.942559780223491 mul x_0))) sub (-2.250178640917622 mul x_3)))) add (-0.0001800565159512548 mul x_4)))
556_analcatdata_apnea2,all_attempts_failed,3,,5,,,,,212.186,All retry attempts failed,0.01,
557_analcatdata_apnea1,all_attempts_failed,3,,5,,,,,203.100,All retry attempts failed,0.01,
560_bodyfat,skipped_too_many_features,14,,,,,,,0.000,Dataset has 14 features but checkpoint supports <= 10 features,0.01,
561_cpu,ok,7,30,1,BeamBFGS,0.9666665350121028,,27.0,17.560,,0.01,(-0.6305885168482448 add (((0.4786716982617491 mul x_5) sub (-4.988060282310577e-08 mul (((441247.3600766731 mul x_4) add (-21719.941071202484 mul x_1)) mul x_0))) add ((0.00041878547547039463 mul (x_6 mul x_2)) sub (-0.004984747174547134 mul x_3))))
562_cpu_small,skipped_too_many_features,12,,,,,,,0.000,Dataset has 12 features but checkpoint supports <= 10 features,0.01,
564_fried,ok,10,240,4,BeamBFGS,0.7736951839953766,,56.0,147.717,,0.01,(-102.0591913967381 add ((6.5188358711108485 mul x_0) add ((((((-0.37422518401233756 mul x_8) sub (-199.63640265819186 mul exp((-3.715206284788238 add (-9.892090734836561 mul x_2))))) add (10.149056660486238 mul x_3)) sub ((-2.6136869584359856 mul x_4) sub (2.4086869571874576 mul x_4))) sub (-0.00387330652148189 mul x_7)) add (-0.0034875154098685857 mul (((-0.48162885141988154 mul x_1) sub (4.265511187381256 mul exp((0.6224617984542284 add (0.009328621745833722 mul x_6))))) mul inv((0.00027116614252304565 add (3.163505843907708e-06 mul x_5))))))))
573_cpu_act,skipped_too_many_features,21,,,,,,,0.000,Dataset has 21 features but checkpoint supports <= 10 features,0.01,
574_house_16H,skipped_too_many_features,16,,,,,,,0.000,Dataset has 16 features but checkpoint supports <= 10 features,0.01,
