dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,60,2,BeamBFGS,0.8867842788054319,,29.0,37.601,,0,(1.843704075377106 add (x_0 mul ((-0.017316036755803812 mul (x_1 mul x_1)) sub (((-0.0747539970073723 mul x_2) add (-0.00026692721996371714 mul (x_3 mul ((116.19988502045545 mul x_1) sub (43.03849799246201 mul x_0))))) add (-0.03019754145224885 mul x_1)))))
1028_SWD,ok,10,120,3,BeamBFGS,0.3792995703501185,,41.0,115.739,,0,(2.4252136932492285 add (((0.017290149175705656 mul (x_4 mul x_2)) add ((-4.121112703693254 mul (x_2 mul ((-0.0173830954641088 mul x_9) add (-0.001568788072541965 mul x_1)))) sub ((0.025038285338503028 mul (x_5 mul ((-0.5865285498323468 mul (x_7 mul x_3)) add (-1.8084913143870482 mul x_6)))) sub (0.31090076582261433 mul x_8)))) sub (-0.00857903236548676 mul x_0)))
1029_LEV,ok,4,480,5,BeamBFGS,0.6158112928379942,,29.0,551.518,,0,(-28.725389221842057 add ((((-0.4796123406335078 mul (x_1 mul cos((-2.287440604453837 add (-0.3236561422632635 mul x_1))))) sub (-0.25702773980422794 mul x_0)) add (-66.55071945105423 mul inv((-2.3364595734808 add (0.012239649324483895 mul x_2))))) add (0.16468430115250426 mul x_3)))
1030_ERA,ok,4,60,2,BeamBFGS,0.33979802475462706,,33.0,49.770,,0,(1.3127487708216288 add ((5.93457570832947 mul inv((-138.4902507100814 add (0.9188597782193926 mul (x_3 mul x_1))))) sub (((-0.03759975597965178 mul x_2) add ((-0.18167823992948676 mul x_1) add (-0.16007387905314438 mul x_0))) add (0.37631828485032576 mul sin((-12.200017506898929 add (-1.6206444802669344 mul x_1)))))))
1089_USCrime,skipped_too_many_features,13,,,,,,,0.000,Dataset has 13 features but checkpoint supports <= 10 features,0,
1096_FacultySalaries,ok,4,30,1,BeamBFGS,0.9060691915333134,,28.0,10.824,,0,(3.491753841604233 add ((0.009025344369795742 mul (x_3 mul x_0)) add ((0.2432970007288183 mul x_3) sub ((0.3827920181795135 mul x_2) add ((-0.0056544616679746 mul tan((1.979732689281408 add (-0.18509585193301073 mul x_1)))) add (-0.9512082251928491 mul x_1))))))
1191_BNG_pbc,skipped_too_many_features,18,,,,,,,0.000,Dataset has 18 features but checkpoint supports <= 10 features,0,
1193_BNG_lowbwt,ok,9,240,4,BeamBFGS,0.5018267269575684,,58.0,149.959,,0,(2902.7706262805295 add (((((((-467.09797692784076 mul x_0) add (-7.683679989736322 mul x_5)) sub ((-149.8818437139188 mul x_3) sub ((-452.91397694068553 mul x_0) add (-17.235056251729247 mul tan((((-47.1061839060286 mul x_2) sub (1.095013065303061 mul cos((-1.0238667879337373 add (27.572199573836702 mul x_8))))) add (-2.1860630012078044 mul x_4))))))) sub (-10.200516179553968 mul x_1)) add (-328.7770173332016 mul x_6)) sub (40.67938330546145 mul x_7)) add (-1.9094004979026877 mul ((1.3236592988911429 add (-2.215378315570679 mul x_5)))**3)))
1196_BNG_pharynx,ok,10,480,5,BeamBFGS,0.4201536754530606,,48.0,352.867,,0,(472.11826985472965 add ((4.311936120753919 mul x_3) add ((10.962143081826081 mul ((inv((-93.09050623052713 add (20.76245231517211 mul x_1))) mul x_9) mul ((-110.38388085102872 mul x_6) add ((-1.2075226313979726 mul ((51.760176378561034 add (-40.94456085561647 mul x_5)))**2) sub (-9.092125688398491 mul (x_4 mul ((x_8 mul x_0) mul cos((-52.11356599637246 add (0.2537344357621894 mul x_2)))))))))) sub (58.434163969645475 mul x_7))))
1199_BNG_echoMonths,ok,9,480,5,BeamBFGS,0.41283913210884826,,40.0,316.872,,0,(46.605140287487856 add ((((0.257769143202911 mul x_6) add (0.004893644366084835 mul (x_4 mul ((-86.9447189892341 mul x_8) sub ((80.70199066061932 mul x_3) sub (-14.430049982890749 mul x_2)))))) add ((-15.457475553275223 mul x_0) add (0.38701594650192717 mul (x_1 mul sin((-0.06034275072149268 add (-0.8749471723548112 mul x_7))))))) add (0.3063248478377668 mul x_5)))
1201_BNG_breastTumor,ok,9,120,3,BeamBFGS,0.11450505194986005,,58.0,67.376,,0,(22.624140120707953 add (((0.9689601946404525 mul (tan(((1.7716814090006443 mul x_2) add (-24.058383514643893 mul x_7))) mul x_7)) sub (-3.3184967733013 mul sin(((-4.216850345367962 mul x_6) add (-129.36963997122595 mul inv((-48.72802022702491 add (-7.358476030855781 mul x_5)))))))) add (0.012250626405541455 mul (x_0 mul ((0.3242722985887215 mul (x_8 mul ((((12.79224398724748 mul x_6) add (4.512127158708672 mul x_4)) add (-3.3888728412915783 mul x_4)) sub (6.634570089106297 mul x_3)))) sub (1.3448985788364332 mul x_1))))))
1203_BNG_pwLinear,ok,10,120,3,BeamBFGS,0.5595381823465797,,55.0,70.166,,0,(-0.36961287269060156 add (((-2.941520762554918 mul x_0) sub (((-0.03205178769212329 mul ((((275.6751607082108 mul x_2) sub ((-0.6417991409979532 mul inv((66.20082263646236 add (0.41159020654810397 mul x_4)))) add (-483.830139103751 mul x_1))) sub (54.64138136155525 mul x_9)) mul sin((-34.49383913842318 add (9.336927691757383 mul x_0))))) sub (0.18145853196990877 mul x_8)) add (0.0017084002211490191 mul (x_7 mul ((-101.52805832250642 mul x_6) add (306.94834793287816 mul x_5)))))) sub (-0.22250105407353563 mul x_3)))
192_vineyard,ok,2,120,3,BeamBFGS,0.782412928788877,,34.0,58.070,,0,(17.59744151598861 add ((-120.36787805384314 mul (inv((-71.75218999021862 add (-0.2491125384536384 mul (x_0 mul (x_1 mul x_1))))) mul x_1)) sub ((0.8177770254853047 mul cos((-14.33146246499796 add (2.6044826799501046 mul x_1)))) sub (0.6144521015560354 mul ((-3.1525857940682074 add (0.32184997476031807 mul x_0)))**3))))
197_cpu_act,skipped_too_many_features,21,,,,,,,0.000,Dataset has 21 features but checkpoint supports <= 10 features,0,
201_pol,skipped_too_many_features,48,,,,,,,0.000,Dataset has 48 features but checkpoint supports <= 10 features,0,
210_cloud,ok,5,60,2,BeamBFGS,0.887979535820764,,26.0,31.509,,0,(-0.0963605703291071 add ((((0.5482675964606676 mul (x_1 mul x_0)) sub (-4.857948432661595 mul x_2)) sub ((1.482967973458725 mul x_4) sub (7.162760392612458 mul x_3))) mul ((0.4727883571701199 add (-0.011551555116880868 mul x_0)))**3))
215_2dplanes,ok,10,480,5,BeamBFGS,0.6834931668532354,,43.0,313.085,,0,(-0.08427205485856279 add ((0.19608997444707982 mul x_3) sub ((4.56571976791947 mul (((0.04293115137680228 mul x_4) mul (-3.9103767365391664 mul (x_8 mul x_3))) mul x_5)) add ((-1.4994134584266148 mul x_4) add ((0.022462558899889847 mul x_7) sub (((1.3025035211313314 mul x_1) add ((3.14741281122912 mul x_0) add (0.06937310477943825 mul x_6))) sub (-0.7799691178785454 mul x_2)))))))
218_house_8L,ok,8,120,3,BeamBFGS,0.7161322230338727,,52.0,72.068,,0,(32092.477531636305 add (((59.08559988289959 mul (arctan(((18.275575701342497 mul x_1) sub (-0.014023898314314115 mul x_2))) mul ((-110.50408056971827 add (311.06502085268994 mul x_2)))**2)) sub (1.8144637017253527 mul ((x_2 mul x_7) mul x_0))) add ((-178128.33171603206 mul x_1) sub (0.07930852257563463 mul (x_4 mul ((76620.28593588174 mul x_5) add ((7069.871625700611 mul x_6) add (550389.821961605 mul inv((459719.02314155985 add (-1020718.9642828135 mul x_3)))))))))))
225_puma8NH,ok,8,480,5,BeamBFGS,0.5292473983690996,,46.0,311.751,,0,(0.7097976396029283 add (((0.10800745593069523 mul x_5) add (((7.337242280653147e-05 mul (x_0 mul (x_6 mul inv((-0.0005452420538512818 add (0.0009222485294703077 mul x_7)))))) add (1.7653333908356015 mul x_2)) sub ((1.803066495988966 add (-0.9466500015321415 mul x_1)))**2)) add (((0.2878374330276442 mul x_6) add (28.442997365893056 mul exp((-1.7655088568208788 add (-0.02142157051057138 mul x_4))))) sub (0.3365468856767451 mul x_0))))
227_cpu_small,skipped_too_many_features,12,,,,,,,0.000,Dataset has 12 features but checkpoint supports <= 10 features,0,
228_elusage,ok,2,240,4,BeamBFGS,0.8845937360588481,,29.0,108.221,,0,(100.43285939143021 add (x_0 mul (((-353.25582179083403 add (14.52523305404729 mul x_0)))**2 mul inv(((1.5285515327077224 mul ((10.243615083364542 add (-1.0576277027414007 mul x_0)))**3) sub (-11191.395440597507 mul sin((82.02716072174327 add (-16.560106548340407 mul x_0)))))))))
229_pwLinear,ok,10,240,4,BeamBFGS,0.7338921548232851,,52.0,144.093,,0,(-0.10733006078889791 add ((((0.23119718244728713 mul x_7) add (2.0814103597917697 mul x_4)) add (-2.541335508266849 mul x_0)) add (((1.2840062525657456 mul x_1) add (0.18830586393261858 mul x_8)) sub ((26.665515072781126 mul ((tan((-1.5707923891607392 add (5.1076089109513785e-06 mul x_6))) mul x_3) mul ((((5.821342934640461e-08 mul x_3) sub (-1.1809834486757498e-08 mul x_7)) add (-2.5637532654074484e-09 mul x_9)) add (1.4113656023263629e-08 mul x_2)))) add (-1.3332144023174157 mul x_5)))))
230_machine_cpu,ok,6,60,2,BeamBFGS,0.9088591214873533,,32.0,33.984,,0,(48.33968011446004 add ((-0.042246971834657136 mul (x_3 mul ((-0.0014832984465909086 mul x_1) add ((3510.511180899763 mul inv((-1171.6672817382414 add (91.1524394375132 mul x_4)))) add ((-0.4797695031913382 mul x_5) sub (-0.16030685260964955 mul x_0)))))) add (4.7400063340247655e-07 mul (x_1 mul x_2))))
344_mv,ok,10,120,3,BeamBFGS,0.9524784646378741,,39.0,67.879,,0,(-1.80095502803843 add ((((-0.15700573671532939 mul x_1) sub (((-0.019726436547110218 mul x_3) sub (0.49129911087167094 mul x_0)) add (0.009579712635443553 mul x_6))) sub ((-0.07799426323444884 mul x_1) add (((0.5307008891786832 mul x_0) add (0.9609886897971046 mul x_7)) sub (-1.6169559182988102e-05 mul (x_4 mul (x_8 mul x_2)))))) mul x_5))
485_analcatdata_vehicle,ok,4,30,1,BeamBFGS,0.7541228159771307,,35.0,8.843,,0,(567.5978588914596 add ((-224.8623842227283 mul x_2) sub ((356.3042824566964 mul x_0) add (38.211213849929486 mul (x_1 mul ((-14.468816795717427 mul ((0.47828859016657016 add (-0.478288590470871 mul x_0)))**2) sub ((-9.746875523161394 mul inv((11.029242723339879 add (-6.955818672553559 mul x_3)))) add (3.3273330614305454 mul x_2))))))))
505_tecator,skipped_too_many_features,124,,,,,,,0.000,Dataset has 124 features but checkpoint supports <= 10 features,0,
519_vinnie,ok,2,60,2,BeamBFGS,0.8119173808679871,,23.0,33.711,,0,(-2.0938185664192894 add (((-0.856265552131522 mul inv((-2452.7442369418113 add (28.830880976071352 mul x_0)))) sub (-0.6137936476485176 mul x_1)) sub (0.6235634974184312 mul inv((52.07855469089164 add (-2.077227006604663 mul x_1))))))
522_pm10,ok,7,240,4,BeamBFGS,0.23641407820195803,,40.0,124.817,,0,(0.6227233606126983 add ((2.272265910421333 mul inv((48.6764041659438 add (3.086672579411229 mul x_1)))) sub (((0.015339445921269892 mul x_5) add (-0.0005074575636543293 mul (x_6 mul x_3))) add ((-0.42284126439039815 mul x_0) add (((0.1763366712844972 mul x_3) add (-1.0674001752581746e-05 mul ((x_4 mul x_0) mul x_1))) add (0.056943616146510216 mul x_2))))))
