dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,BFGS,0.7885958055962079,0.6084046256798109,49,20.745723247528076,,0.001,((5.0 + (0.6 * (-5.984639666737496 + (1.0617441192563855 * x_3)))) + ((0.3 + (0.4 * (-3.2646780146027847 + (0.640682119755828 * x_1)))) + ((-0.1 + (0.5 * (-4.597176476102773 + (0.8602078682278196 * x_2)))) + ((0.006999999999999999 + (0.01 * cos(((-0.02 + (9.0 * (-4.597176476102773 + (0.8602078682278196 * x_2)))) + (0.9 + (9.0 * (-3.5866482951028424 + (0.6488943529449531 * x_0)))))))) * ((0.01 + (60.0 * sin((9.0 * (-4.597176476102773 + (0.8602078682278196 * x_2)))))) + (0.01 + (40.0 * (-3.5866482951028424 + (0.6488943529449531 * x_0)))))))))
1028_SWD,ok,10,BFGS,0.001996713995945032,0.8079838250360193,88,18.593658685684204,,0.001,((0.7741600523259129 + (-0.002337803339244103 * inv(((((-7.099999994627973 * (((4.129999993911862 + (-85.59999999939643 * (-2.600553656918532 + (1.2550934637637703 * x_8)))) + (-0.09940000608813852 + (0.002379966616530838 * (-2.9081003152529648 + (2.0120620262359075 * x_5))))))**2) + ((0.006740000036469895 + (0.0931000000102682 * (-2.426926571290108 + (1.2290310117944503 * x_3)))) - (0.7469999999635298 + (0.0419999996879436 * (-2.6342106133194694 + (1.2394341028792988 * x_9)))))) + ((-79.09999999996353 + (-0.00890999990722588 * (-2.1373666733018415 + (0.9662597980568902 * x_2)))) - (0.051499999963530114 + (6.600000000073282 * (-2.268186844778958 + (0.9771051887330375 * x_4)))))) * (8.27999999532563 + (37.099999999949304 * (-2.569944899053485 + (1.3329589725381146 * x_6)))))))) * (5.029932721179889 + (0.14807712886227187 * cos(((0.25271155464572254 + (0.034034210297394986 * (-2.697450793320586 + (1.3559571682241551 * x_0)))) - (3.547288445354279 + (8.46237602251105 * arctan(((3.2643275742719 + (35.20947782949975 * (-2.9081003152529648 + (2.0120620262359075 * x_5)))) * ((0.32623615989529664 + (-1.2437584684708436 * (-2.8215915534304346 + (1.2833193845196034 * x_1)))) * (0.23730596819503566 + (-0.9026070645068842 * cos((0.4961077310808243 + (62.882295572410186 * (-2.7596764375814526 + (1.367982371570449 * x_7)))))))))))))))))
1029_LEV,ok,4,BFGS,0.0028569955231056987,0.9221169866484452,48,12.553385257720947,,0.001,((0.08608394038310968 + (0.017063462248228408 * (-1.43051090044895 + (0.7293563394539174 * x_3)))) + (0.5566839403831098 + (-0.9812181639629463 * inv((-0.09269178378456301 + (-0.7422833386046572 * sin((57.77219728914142 + (-0.5399295494047143 * sin(((0.08119735814046984 + (-0.5779987813893136 * abs(((0.06565187011110067 + (94.00118410650724 * (-1.4856411796560651 + (0.7038729530903657 * x_2)))) - (26.9818481298889 + (-0.05635919513924893 * arctan((0.00951824954793149 + (-4.339993241733946 * (-1.453122682939075 + (0.7314375920834271 * x_1))))))))))) - (0.33250264185953016 + (-0.03746854948248636 * (-1.2447225684250052 + (0.7356516361849913 * x_0)))))))))))))))
1030_ERA,ok,4,BFGS,-0.0024584121733013387,2.1786915154081963,71,10.967734813690186,,0.001,((2.300821516328677 + (1.3250531990612448e-05 * log((((-0.2351943810762667 * ((-0.2784522790862127 * (-1.848228685399118 + (0.2762949001493599 * x_2))))**2) + (0.39883460090562967 + (4.010849371396516 * (-1.7229002393230515 + (0.2634941230612334 * x_1))))) + (0.3105546009060598 + (10.635493666265486 * abs(((-5.1460256883669615 + (-10.157549540105654 * (-1.6699147855983014 + (0.21789076012503933 * x_0)))) + (-3.061635688364433 + (10.302450459889005 * (-1.6699147855983014 + (0.21789076012503933 * x_0)))))))))))) + (1.8032215163374445 + (-1.5533660261772717e-06 * cos((1.3434476597916476 + (-91.68615724832763 * inv(((0.01663676174043449 + (0.14461403321489177 * sin((-3.842286531335158 + (-0.009078325616400542 * inv((65.30000011044113 + (-0.6189999817611063 * inv((5.950000001863898 + (-0.0018001109364653696 * (-1.3791511341247022 + (0.2190519590414076 * x_3))))))))))))) + (-0.12116323825783944 + (3.3143543935455853 * (-1.3791511341247022 + (0.2190519590414076 * x_3))))))))))))
1089_USCrime,skip,13,,,,,,,0.001,
1096_FacultySalaries,ok,4,NoRef,0.7120499236363482,2.1177499948598824,52,7.620338201522827,,0.001,(((-0.04700000000000001 + inv(((-82.8 + (-0.784 * (-7.228378749769162 + (0.09741892258588145 * x_2)))) - (0.04 + (-47.0 * ((0.00409 + (-90.60000000000001 * (-0.483045891539648 + (2.5532425695667107 * x_0)))))**2))))) * (0.00955 + (-90.4 * sqrt((0.629 + (0.057 * (-8.770750843354087 + (0.1692268037964866 * x_3)))))))) * ((20.6 + (-0.044500000000000005 * ((9.82 + (0.537 * cos((-0.033400000000000006 + (98.3 * (-8.294162598512163 + (0.14200756008222232 * x_1))))))))**2)) - (3.21 + (-0.9500000000000001 * (-8.294162598512163 + (0.14200756008222232 * x_1))))))
1191_BNG_pbc,skip,18,,,,,,,0.001,
1193_BNG_lowbwt,ok,9,NoRef,0.5336527587097186,490.3917915563339,109,88.75051212310791,,0.001,(((-0.5730000000000001 * (((-7.12 + (0.34 * (-0.6709061034818435 + (2.1614276456324326 * x_0)))) - (-0.28800000000000003 + (-0.0378 * (-0.42492690553036766 + (1.646080181370378 * x_5))))))**2) * ((0.021900000000000003 + (-5.13 * inv((0.047900000000000005 + (-0.007809999999999999 * sin(((0.08670000000000001 + (-0.009689999999999999 * (-0.8258478427120429 + (2.0367246511033446 * x_4)))) - (-0.009729999999999999 + (-68.8 * (-0.2743552436594544 + (3.9192646197720467 * x_6))))))))))) - (-0.0641 + (-9.19 * (-0.6709061034818435 + (2.1614276456324326 * x_0)))))) + (0.0234 + (63.1 * inv((-0.319 + (-13.8 * inv(((((0.14700000000000002 * (-0.8258478427120429 + (2.0367246511033446 * x_4))) - (-0.007039999999999999 + (0.321 * (-4.379396026233055 + (0.18873184169507426 * x_1))))) + (((-0.099 + (60.1 * cos((-0.0073 + (7.55 * (-2.2954917666927157 + (2.7311282671192774 * x_7))))))) - (0.0367 + (-5.53 * (-4.248422047977351 + (0.032784099878693275 * x_2))))) - (-0.011000000000000001 + (-0.00449 * (-4.379396026233055 + (0.18873184169507426 * x_1)))))) + ((-9.32 + (0.603 * (-1.8663682181069738 + (1.3843764003815417 * x_3)))) + ((-0.081 + (-1.96 * (-0.8753177193754129 + (0.7228622117526775 * x_8)))) - ((32.8 + (-7.58 * (-2.2954917666927157 + (2.7311282671192774 * x_7)))) + (-98.2 + (0.35100000000000003 * (-0.42492690553036766 + (1.646080181370378 * x_5)))))))))))))))
1196_BNG_pharynx,ok,10,NoRef,0.3603428184051678,334.50975091310545,111,126.14226460456848,,0.001,((-0.04820000000000001 + (-0.776 * abs((((((-3.24 * inv(((-0.00458 + (-98.10000000000001 * (-1.3024072194677068 + (0.5724276438596108 * x_0)))) + (-0.89 + (3.9 * (-1.4884195962629418 + (1.0396411615340688 * x_8))))))) * ((72.10000000000001 + (-0.0517 * inv(((-0.0495 + (-0.016200000000000003 * (-1.2335146302106939 + (1.2276236734098909 * x_6)))) * (7.45 + (-0.05040000000000001 * (-5.38901179775602 + (0.0891167199145502 * x_4)))))))) + (36.2 + (0.0228 * (-1.4145987963010245 + (1.5251980225035269 * x_3)))))) + (8.08 + (34.6 * tan(((12.1 + (0.0371 * (-0.9787621505210815 + (0.9861318424906281 * x_7)))) + ((-6.43 + (-3.16 * (-0.9748807203728533 + (2.0006472363190704 * x_2)))) - (93.2 + (-0.28800000000000003 * abs((-0.00773 + (-0.76 * sqrt((3.1 + (-0.055200000000000006 * (-0.5294352082530241 + (1.2636529607062625 * x_5)))))))))))))))) - ((-89.5 + (-0.62 * (-5.38901179775602 + (0.0891167199145502 * x_4)))) - ((-72.8 + (-2.59 * (-1.4884195962629418 + (1.0396411615340688 * x_8)))) * (-0.33 + (-0.891 * (-0.6062755085208393 + (2.2556906439594284 * x_9))))))) - ((0.00071 + (0.17500000000000002 * (-1.768313735831374 + (2.3338242443666983 * x_1)))) + (-0.00309 + (-2.19 * (-1.4145987963010245 + (1.5251980225035269 * x_3))))))))) * (-4.49 + (0.0031 * (-1.3024072194677068 + (0.5724276438596108 * x_0)))))
1199_BNG_echoMonths,ok,9,NoRef,0.3865118852649929,12.419412913757776,96,57.2337601184845,,0.001,((0.010700000000000001 + (0.051000000000000004 * abs(((((7.97 + (-57.800000000000004 * (-2.6721771408958337 + (0.18194219588543792 * x_6)))) * ((((0.395 + (-0.0043 * (-1.6574444047673307 + (0.13888828634554612 * x_4)))) - (-0.0461 + (-0.006719999999999999 * (-2.6721771408958337 + (0.18194219588543792 * x_6))))) - (0.00537 + (0.532 * (-0.7006903278735214 + (2.1278543120472913 * x_0))))) + (-0.0199 + (0.00433 * (-3.067944714584882 + (2.164750004991396 * x_7)))))) - ((-0.020700000000000003 + (-0.0036699999999999997 * (-2.6721771408958337 + (0.18194219588543792 * x_6)))) - ((-0.00248 + (0.41500000000000004 * ((-5.22 + (47.2 * sin((92.9 + (-3.7 * (-0.7006903278735214 + (2.1278543120472913 * x_0))))))))**2)) - ((0.049 + (0.006189999999999999 * (-5.895898785165648 + (1.2318638071644166 * x_5)))) - ((-0.528 + (0.0916 * (-0.49911869021357436 + (2.5026501539864436 * x_2)))) - (0.636 + (0.08180000000000001 * (-7.592359124770964 + (0.12102999837163637 * x_1))))))))) + (((-0.07700000000000001 * (-5.895898785165648 + (1.2318638071644166 * x_5))) * (7.44 + (0.00405 * (-2.6721771408958337 + (0.18194219588543792 * x_6))))) + (-48.0 + (-6.140000000000001 * (-0.5017378935864184 + (2.494810397741941 * x_8))))))))) - (-0.009009999999999999 + (-0.39 * (-2.0328645278907476 + (9.118566531730082 * x_3)))))
1201_BNG_breastTumor,ok,9,NoRef,0.009192744841213685,10.345611025078126,87,79.80322360992432,,0.001,(-3.97 + (0.369 * abs((9.03 + (-0.9890000000000001 * sqrt((((-12.200000000000001 * ((0.5690000000000001 + (0.7230000000000001 * sqrt(((0.055600000000000004 + (0.0154 * (-1.1088808592176158 + (0.7610555194479648 * x_6)))) - (-7.17 + (0.0937 * (-0.7087067259517521 + (0.22582626161959693 * x_2)))))))))**2) - (-0.9580000000000001 + (63.300000000000004 * (-0.5638320098201588 + (2.337409924133613 * x_3))))) + ((((0.46 + (74.10000000000001 * (-0.9189845014450806 + (1.6390296272383873 * x_1)))) - (-0.082 + (21.400000000000002 * (-5.250497014027723 + (0.10319273787661308 * x_0))))) - ((-0.0485 + (-2.33 * (-0.7262194085300238 + (2.103213727676835 * x_8)))) - ((0.00879 + (6.41 * (-0.7262194085300238 + (2.103213727676835 * x_8)))) * (72.10000000000001 + (0.0927 * (-1.5180585447871628 + (1.2488927483023398 * x_4))))))) + (-0.0073999999999999995 + (4.73 * abs(((24.400000000000002 + (0.615 * (-1.0518934400831168 + (2.002560077875804 * x_5)))) * (-0.34 + (82.7 * cos((-6.76 + (8.2 * (-0.6252646835076331 + (2.224587380561564 * x_7)))))))))))))))))))
1203_BNG_pwLinear,ok,10,NoRef,0.48252515626885917,3.211113549876253,68,83.82567000389099,,0.001,(((-0.00465 + (0.09327695722231513 + (1.1935641468320128 * x_2))) + ((0.00345 + (-0.0015999999999999999 * abs(((0.00715 + (-0.0164 * (0.08136827226570918 + (1.214127207235189 * x_9)))) * (-3.98 + (0.00365 * (0.05301294397079258 + (1.1962125910257306 * x_8)))))))) + ((-0.42000000000000004 + (-33.0 * ((-0.025 * (0.017023356996386664 + (1.214022120525997 * x_3))))**2)) + (((0.068 * (0.021079400064747105 + (1.2326624527298857 * x_6))) - ((6.54 + (4.16 * (-0.07806305361583178 + (1.0030422923983957 * x_0)))) - (6.0 + (2.12 * (-0.07012326027132888 + (1.2885997731187766 * x_4)))))) + ((0.20400000000000001 + (0.0451 * (0.13590670909093983 + (1.2475172979012206 * x_1)))) * (1.55 + (6.12 * (-0.10672377789578776 + (1.219307002427927 * x_5))))))))) * (0.874 + (0.329 * tan((-10.200000000000001 + (-8.07 * (-0.026755910949340968 + (1.191283622228365 * x_7))))))))
192_vineyard,ok,2,NoRef,-0.341098733135762,3.9977603556436896,79,10.324113845825195,,0.001,((0.0651 + (2.8000000000000003 * cos((63.1 * (-4.117027889192704 + (0.42817090047604117 * x_1)))))) + ((-0.0042899999999999995 + (-0.00156 * (((0.0023699999999999997 + (-0.00311 * (-4.117027889192704 + (0.42817090047604117 * x_1)))) + (-0.00735 + (34.1 * (-4.117027889192704 + (0.42817090047604117 * x_1))))))**2)) + ((9.88 + (-0.0105 * inv((-0.401 + (2.1 * (-4.117027889192704 + (0.42817090047604117 * x_1))))))) - ((7.36 + (0.732 * inv(((6.93 + (-43.2 * (-1.8307543886114104 + (0.5534838849290311 * x_0)))) - (-0.00123 + (-2.08 * inv((-0.037000000000000005 + (94.3 * ((-0.012100000000000001 + (-0.795 * ((0.0102 + (-0.881 * (-1.8307543886114104 + (0.5534838849290311 * x_0)))))**3)))**3))))))))) * (-0.48400000000000004 + (-77.9 * abs((0.011800000000000001 + (0.00573 * (-1.8307543886114104 + (0.5534838849290311 * x_0)))))))))))
197_cpu_act,skip,21,,,,,,,0.001,
201_pol,skip,48,,,,,,,0.001,
210_cloud,ok,5,NoRef,0.8415707631578659,0.4822372592193417,54,8.35706901550293,,0.001,(((-83.5 + exp((-0.00131 + (-0.00806 * (-1.364220250476025 + (0.7075287476063205 * x_4)))))) - (((0.052700000000000004 * (-1.0027588296430885 + (0.754864913942272 * x_2))) - (0.00872 + (-65.6 * (-1.0027588296430885 + (0.754864913942272 * x_2))))) + (((22.3 * tan((-27.1 * (-1.063756996389881 + (2.0038213187809384 * x_0))))) + ((7.07 + (-0.0026899999999999997 * (-1.364220250476025 + (0.7075287476063205 * x_4)))) - (4.43 + (-62.9 * (-1.387200735049868 + (1.1821489699211438 * x_3)))))) + (78.2 + (0.014900000000000002 * (-1.063756996389881 + (2.0038213187809384 * x_0))))))) * (-0.00609 + (-0.00342 * inv((-0.8360000000000001 + (83.3 * (-1.5014210843154818 + (0.9501180299183909 * x_1))))))))
