dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,NoRef,0.7964402811464291,0.5970100315440583,37,9.265172481536865,,0.0,(0.9740000000000001 + (0.7160000000000001 * abs(((1.92 + (-0.534 * (-3.2646780146027847 + (0.640682119755828 * x_1)))) - ((8.08 + (0.267 * tan((0.0015899999999999998 + (48.5 * (-3.5866482951028424 + (0.6488943529449531 * x_0))))))) - (((-0.011500000000000002 + (-5.984639666737496 + (1.0617441192563855 * x_3))) - (-0.010900000000000002 + (-0.542 * (-4.597176476102773 + (0.8602078682278196 * x_2))))) * (-0.9700000000000001 + (-0.20700000000000002 * (-4.597176476102773 + (0.8602078682278196 * x_2))))))))))
1028_SWD,ok,10,BFGS,-0.0006062454478119594,0.8090368173465368,73,11.323543548583984,,0.0,(((0.1503998300034718 * tan((46.58246125551229 + (2.672492016428271e-05 * (-2.1373666733018415 + (0.9662597980568902 * x_2)))))) - (((-8.279105205618025 * inv(((((-3.667050132483762 + (-7.154895107061349 * (-2.7596764375814526 + (1.367982371570449 * x_7)))) - (0.026150132483763244 + (3.469584218298958 * (-2.600553656918532 + (1.2550934637637703 * x_8))))) - (0.08715013248376326 + (0.5164148228269819 * (-2.426926571290108 + (1.2290310117944503 * x_3))))) + (-4.4470501324837635 + (-0.0006532567218767861 * (-2.9081003152529648 + (2.0120620262359075 * x_5))))))) * (5.383268706681742e-07 + (1.3490822541737956e-07 * (-2.6342106133194694 + (1.2394341028792988 * x_9))))) + (-0.40572298029737586 + (1.2287534605470714e-06 * arctan((0.001721848600306001 + (-9.157361846273336 * cos((((0.027895004484724442 + (-2.8215915534304346 + (1.2833193845196034 * x_1))) - (-0.3046650044847245 + (44.83304882333389 * (-2.697450793320586 + (1.3559571682241551 * x_0))))) * (0.24537099300442386 + (-7.883032329912391 * (-2.569944899053485 + (1.3329589725381146 * x_6))))))))))))) + (3.4807229802973763 + (-1.4777279477228487e-06 * (-2.268186844778958 + (0.9771051887330375 * x_4)))))
1029_LEV,ok,4,BFGS,0.00014794193666578526,0.9233687478925715,89,7.760056018829346,,0.0,(0.7403101757802302 + (6.797606961686084 * inv(((4.444517065177756 + (-0.015019860381136613 * (-1.4856411796560651 + (0.7038729530903657 * x_2)))) + (-0.05048306238817456 + (2.5251870160398218 * sin(((-0.012544925844371953 + (-0.5740575553540294 * sqrt((0.4568679659125452 + (-0.000447233632153331 * sin((((-0.002909022691044191 + (-9.949922855642155 * (-1.43051090044895 + (0.7293563394539174 * x_3)))) - (27.199919022653404 + (0.07601489359347426 * (-1.453122682939075 + (0.7314375920834271 * x_1))))) - ((-0.006860976681608285 + (0.03671787880430521 * abs((-0.3740100659016007 + (36.09999230479419 * (-1.453122682939075 + (0.7314375920834271 * x_1))))))) - (((0.00392407691926361 + exp((20.497646779327063 + (-1.2447225684250052 + (0.7356516361849913 * x_0))))) * ((9.810651537366551 + (-12.13708884373729 * (-1.453122682939075 + (0.7314375920834271 * x_1)))) + (-2.839348474884942 + (2.2568966764370173 * (-1.43051090044895 + (0.7293563394539174 * x_3)))))) * (-0.07414717270987999 + (0.07924353966108684 * (-1.43051090044895 + (0.7293563394539174 * x_3))))))))))))) * (-99.90056441383871 + (0.9029247395388201 * exp((-0.06823037795010624 + (0.8046485523524785 * tan((69.64757209492709 + (-93.56411195840803 * (-1.43051090044895 + (0.7293563394539174 * x_3))))))))))))))))))
1030_ERA,ok,4,BFGS,-0.0024633098826938316,2.1786968376164473,50,5.957511901855469,,0.0,((0.0038984866922337756 + (6.807279068454663e-08 * (-1.6699147855983014 + (0.21789076012503933 * x_0)))) - (-0.016548486692233782 + (-7.809059736466517 * (((1.2055677812457222 + (1.5092338367905818e-08 * sin((0.08720628409773695 + (-9.045272300278326 * (-1.7229002393230515 + (0.2634941230612334 * x_1))))))) - (0.48243221875427783 + (6.85582007223955e-09 * sin(((-0.06252826079605567 + (-51.001673499792396 * (-1.3791511341247022 + (0.2190519590414076 * x_3)))) - (((0.02305563554961023 + (1.5976596258470568 * (-1.848228685399118 + (0.2762949001493599 * x_2)))) * (0.5402649528433354 + (18.90337432345373 * (-1.6699147855983014 + (0.21789076012503933 * x_0))))) - (-5.010828260796056 + (-16.505386503815892 * (-1.6699147855983014 + (0.21789076012503933 * x_0)))))))))))**2)))
1096_FacultySalaries,ok,4,NoRef,0.6884140654279811,2.2029518898922666,29,4.55484676361084,,0.0,((-14.700000000000001 + (-0.00114 * (-0.483045891539648 + (2.5532425695667107 * x_0)))) * (((0.008369999999999999 + (-0.0007 * (-8.294162598512163 + (0.14200756008222232 * x_1)))) - ((0.00535 + (-0.248 * (-7.228378749769162 + (0.09741892258588145 * x_2)))) - (-0.619 + (-0.0043 * (-8.294162598512163 + (0.14200756008222232 * x_1)))))) - (2.39 + (0.516 * (-8.294162598512163 + (0.14200756008222232 * x_1))))))
1193_BNG_lowbwt,ok,9,NoRef,0.5389314893411754,487.60844352605596,105,68.52355170249939,,0.0,((-0.06430000000000001 + (-0.728 * sqrt((6.8 + (0.00548 * cos((-0.09340000000000001 + (-3.91 * (-0.8753177193754129 + (0.7228622117526775 * x_8)))))))))) - ((((9.89 * sqrt((10.9 + (0.556 * inv((((0.00232 * (-2.2954917666927157 + (2.7311282671192774 * x_7))) * (-0.0267 + (-25.1 * inv((25.400000000000002 + (6.75 * sqrt((98.10000000000001 + (-0.8450000000000001 * (-1.8663682181069738 + (1.3843764003815417 * x_3))))))))))) + (0.29500000000000004 + (41.7 * ((-0.171 + (0.686 * (-0.42492690553036766 + (1.646080181370378 * x_5)))))**3)))))))) * ((0.00703 + (16.5 * cos((0.07 + (-9.35 * (-0.8258478427120429 + (2.0367246511033446 * x_4))))))) - ((0.36100000000000004 + (0.023500000000000004 * (-0.6709061034818435 + (2.1614276456324326 * x_0)))) * (((-0.731 + (-0.8258478427120429 + (2.0367246511033446 * x_4))) + (0.053200000000000004 + (-4.5200000000000005 * (-4.248422047977351 + (0.032784099878693275 * x_2))))) * (-0.0021999999999999997 + (-0.8 * (-0.2743552436594544 + (3.9192646197720467 * x_6)))))))) + ((-51.300000000000004 + (-0.00819 * (-4.379396026233055 + (0.18873184169507426 * x_1)))) * (55.9 + (-9.5 * (-0.6709061034818435 + (2.1614276456324326 * x_0)))))) - (74.10000000000001 + (98.3 * (-2.2954917666927157 + (2.7311282671192774 * x_7))))))
1196_BNG_pharynx,ok,10,NoRef,0.3720861905995414,331.42491915388416,97,92.30952525138855,,0.0,((((-0.053200000000000004 + (-1.4884195962629418 + (1.0396411615340688 * x_8))) - (9.21 + (-0.055400000000000005 * inv((-0.917 + (59.0 * (-0.9748807203728533 + (2.0006472363190704 * x_2)))))))) * (-0.00376 + (0.0675 * (-0.9787621505210815 + (0.9861318424906281 * x_7))))) + (((((-2.0100000000000002 + (-0.549 * inv((-33.1 + (-7.2 * exp((0.05160000000000001 + (-0.067 * sqrt((25.400000000000002 + (0.17600000000000002 * (-1.4145987963010245 + (1.5251980225035269 * x_3))))))))))))) + ((0.906 + (0.883 * sin(((74.10000000000001 + (68.9 * (-0.6062755085208393 + (2.2556906439594284 * x_9)))) * (-0.0181 + (-72.7 * ((-0.676 + (-0.00085 * (-1.768313735831374 + (2.3338242443666983 * x_1)))))**2)))))) * (-9.05 + (86.0 * log((71.8 + (0.00516 * (-1.2335146302106939 + (1.2276236734098909 * x_6))))))))) - (0.061500000000000006 + (-0.0873 * (-1.4884195962629418 + (1.0396411615340688 * x_8))))) + (0.0074399999999999996 + (-0.00381 * (-1.3024072194677068 + (0.5724276438596108 * x_0))))) - (0.9390000000000001 + (42.300000000000004 * inv((-0.09680000000000001 + (-0.0025399999999999997 * (-0.5294352082530241 + (1.2636529607062625 * x_5)))))))))
1199_BNG_echoMonths,ok,9,NoRef,0.31331840088822516,13.13940486277466,68,46.936689376831055,,0.0,((0.1 + (0.002 * (((30.0 + (-20.0 * (-0.7006903278735214 + (2.1278543120472913 * x_0)))) + (0.01 + (-99.9 * sin(((0.01 + (5.0 * (-0.5017378935864184 + (2.494810397741941 * x_8)))) + (0.006 + (0.01 * inv(((0.060000000000000005 + (0.060000000000000005 * (-5.895898785165648 + (1.2318638071644166 * x_5)))) + ((0.060000000000000005 + (0.060000000000000005 * (-0.49911869021357436 + (2.5026501539864436 * x_2)))) + ((0.060000000000000005 + (-0.060000000000000005 * (-7.592359124770964 + (0.12102999837163637 * x_1)))) + (0.060000000000000005 + (-0.060000000000000005 * (-2.0328645278907476 + (9.118566531730082 * x_3))))))))))))))))**2)) + ((0.001 + (-0.002 * (-3.067944714584882 + (2.164750004991396 * x_7)))) * ((90.0 + (0.02 * (-1.6574444047673307 + (0.13888828634554612 * x_4)))) + (0.001 + (0.02 * (-2.6721771408958337 + (0.18194219588543792 * x_6)))))))
1201_BNG_breastTumor,ok,9,BFGS,0.0033300177941545384,10.376173999970472,98,68.45140314102173,,0.0,((-0.0052582738680924945 + (-15.499032941109245 * arctan((((-0.017089779555562172 + (0.08470606140979518 * (-1.0518934400831168 + (2.002560077875804 * x_5)))) - (91.20018977955557 + (81.19988112130167 * (-0.5638320098201588 + (2.337409924133613 * x_3))))) - ((-0.08461022044443785 + (-0.94804123177968 * (-0.7087067259517521 + (0.22582626161959693 * x_2)))) - ((-0.0030597795555621686 + (-0.006414483042031012 * inv((0.129476620876653 + (-0.01524121329659167 * (-5.250497014027723 + (0.10319273787661308 * x_0))))))) - ((-9.319811398304253 + (-0.36100815349536336 * (-0.7262194085300238 + (2.103213727676835 * x_8)))) * ((0.4972355759287405 + (-0.658704010602191 * (-0.9189845014450806 + (1.6390296272383873 * x_1)))) + (((0.004386243323900387 + (-0.5638320098201588 + (2.337409924133613 * x_3))) * (0.04291969489602274 + (8.669997516298892 * (-1.1088808592176158 + (0.7610555194479648 * x_6))))) * (-0.0021318725129448875 + (0.012449459883717194 * abs((((-0.969984933620876 * (-1.5180585447871628 + (1.2488927483023398 * x_4))) + (-0.9529977614699751 + (0.0001431073835790491 * (-1.1088808592176158 + (0.7610555194479648 * x_6))))) + (-0.0059377614699749875 + (-0.328984933620876 * (-1.5180585447871628 + (1.2488927483023398 * x_4))))))))))))))))) * (0.9000380478639234 + (-0.6423426112285097 * sin(((-48.81127838020514 + (-0.6347357779066245 * tan((0.05359987283734908 + (7.670743728794232 * (-1.0518934400831168 + (2.002560077875804 * x_5))))))) - (0.5012783802051296 + (-0.001368301751581611 * (-0.6252646835076331 + (2.224587380561564 * x_7)))))))))
1203_BNG_pwLinear,ok,10,NoRef,0.4808807205336537,3.2162116541682426,83,63.369032859802246,,0.0,(((0.5 * (0.09327695722231513 + (1.1935641468320128 * x_2))) - ((((0.503 + (-0.07806305361583178 + (1.0030422923983957 * x_0))) - (0.541 + (0.6980000000000001 * inv((((39.5 * inv((-6.07 + (-0.192 * (-0.026755910949340968 + (1.191283622228365 * x_7)))))) - (0.368 + (-0.016800000000000002 * cos((7.34 + (0.0664 * ((0.00199 + (-8.39 * (0.05301294397079258 + (1.1962125910257306 * x_8)))))**2)))))) + (0.0874 + (80.60000000000001 * (0.017023356996386664 + (1.214022120525997 * x_3))))))))) * (-0.0010199999999999999 + (20.8 * inv((8.17 + (0.00013 * (0.08136827226570918 + (1.214127207235189 * x_9)))))))) - (-0.056 + (-2.0300000000000002 * sin((0.054200000000000005 + (7.8 * (0.021079400064747105 + (1.2326624527298857 * x_6))))))))) + ((0.00389 + (0.35700000000000004 * (-0.10672377789578776 + (1.219307002427927 * x_5)))) - ((2.91 + (0.00656 * (0.13590670909093983 + (1.2475172979012206 * x_1)))) * (0.0028599999999999997 + (-0.40700000000000003 * (-0.07012326027132888 + (1.2885997731187766 * x_4)))))))
