dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
strogatz_bacres1,ok,2,NoRef,0.9653367704379996,0.4189841966956249,36.0,4.712763547897339,,0.0,((0.6900000000000001 + (-0.9390000000000001 * (-6.262349407491105 + (0.4541858300590738 * x_0)))) + ((0.0009199999999999999 + (0.20600000000000002 * arctan((-0.001 + (-2.879498286108375 + (0.07514553155101268 * x_1)))))) * ((((-1.69 + (-2.879498286108375 + (0.07514553155101268 * x_1))) - (8.14 + (-2.66 * (-6.262349407491105 + (0.4541858300590738 * x_0))))) * (1.1400000000000001 + (0.0879 * (-6.262349407491105 + (0.4541858300590738 * x_0))))) - (-0.0577 + (-0.93 * (-6.262349407491105 + (0.4541858300590738 * x_0)))))))
strogatz_bacres2,ok,2,NoRef,0.9916808694760324,0.198229613542989,27.0,7.427502155303955,,0.0,(((((-28.8 * (-2.879498286108375 + (0.07514553155101268 * x_1))) + (-0.917 + (23.7 * (-6.262349407491105 + (0.4541858300590738 * x_0))))) + (-0.0059 + (-6.46 * (-6.262349407491105 + (0.4541858300590738 * x_0))))) * (0.0451 + (-0.00945 * (-6.262349407491105 + (0.4541858300590738 * x_0))))) + (4.59 + (-0.5740000000000001 * (-2.879498286108375 + (0.07514553155101268 * x_1)))))
strogatz_barmag1,ok,2,NoRef,0.94274488685777,0.045602949048629,30.0,9.734898805618286,,0.0,((0.002 + (-0.0024 * arctan((0.1 + (-13.749320144176263 + (2.4397466465165905 * x_0)))))) * ((99.0 + (9.0 * (-0.7763258181607384 + (0.39781013080990546 * x_1)))) + (0.001 + (-9.0 * inv((-0.09000000000000001 + (0.01 * ((0.1 + (7.5 * (-0.7763258181607384 + (0.39781013080990546 * x_1)))))**3)))))))
strogatz_barmag2,ok,2,NoRef,0.4588058436934299,0.1822000095838552,45.0,12.52229380607605,,0.0,((-0.0048 + (-0.368 * cos(((-0.037000000000000005 + (0.9400000000000001 * inv(((0.0077599999999999995 + (1.53 * (-0.7763258181607384 + (0.39781013080990546 * x_1)))) - (-0.00919 + (0.07310000000000001 * (-13.749320144176263 + (2.4397466465165905 * x_0)))))))) * (-1.33 + (0.00747 * (-0.7763258181607384 + (0.39781013080990546 * x_1)))))))) * ((0.24000000000000002 + (-0.095 * (-0.7763258181607384 + (0.39781013080990546 * x_1)))) + ((-85.4 + (46.0 * (-13.749320144176263 + (2.4397466465165905 * x_0)))) * (0.00752 + (-0.005399999999999999 * (-13.749320144176263 + (2.4397466465165905 * x_0)))))))
strogatz_glider1,ok,2,NoRef,0.9726425170502002,0.1215868187626989,28.0,5.673834323883057,,0.0,((-0.006339999999999999 + (0.9890000000000001 * sin((-8.38 + (7.390000000000001 * (-1.8728726161932867 + (0.13763524572636318 * x_1))))))) - ((-0.08130000000000001 + (-0.08120000000000001 * (-2.0479585513057548 + (0.9185478027788039 * x_0)))) * ((7.72 + (-0.604 * (-2.0479585513057548 + (0.9185478027788039 * x_0)))) - (11.0 + (0.14500000000000002 * (-1.8728726161932867 + (0.13763524572636318 * x_1)))))))
strogatz_glider2,ok,2,NoRef,0.7228155485546366,0.5040868346081676,39.0,5.945314407348633,,0.0,((-0.556 + (0.9690000000000001 * (-2.0479585513057548 + (0.9185478027788039 * x_0)))) - (((-8.48 + (-3.5500000000000003 * inv(((0.9490000000000001 + (37.5 * (-2.0479585513057548 + (0.9185478027788039 * x_0)))) - (-82.10000000000001 + (-0.00967 * (-1.8728726161932867 + (0.13763524572636318 * x_1)))))))) + (5.53 + (0.027500000000000004 * (-1.8728726161932867 + (0.13763524572636318 * x_1))))) - (-0.05670000000000001 + (0.42200000000000004 * sin((-7.13 + (7.18 * (-1.8728726161932867 + (0.13763524572636318 * x_1)))))))))
strogatz_lv1,ok,2,NoRef,0.4706379783061134,1.3046225866449594,22.0,9.799336194992064,,0.0,((0.001 + (0.001 * (-1.8092302962642817 + (1.2608026657501157 * x_1)))) * (-0.01 + (-0.09000000000000001 * (((70.0 + (99.9 * (-0.669488742160413 + (0.8024202405723764 * x_0)))) + (-0.01 + (40.0 * (-1.8092302962642817 + (1.2608026657501157 * x_1))))))**2)))
strogatz_lv2,ok,2,NoRef,0.881532658654924,0.4161535543612263,59.0,8.883678674697876,,0.0,((0.007319999999999999 + (0.502 * ((((0.41500000000000004 * arctan((0.598 + (2.7800000000000002 * inv((-0.008029999999999999 + (0.044000000000000004 * (-0.669488742160413 + (0.8024202405723764 * x_0))))))))) + (-0.00281 + (-8.11 * (-1.8092302962642817 + (1.2608026657501157 * x_1))))) + ((0.040900000000000006 + (0.00054 * (-0.669488742160413 + (0.8024202405723764 * x_0)))) - (((0.9890000000000001 + (-1.5 * (-0.669488742160413 + (0.8024202405723764 * x_0)))) + (0.00853 + (-9.9 * (-1.8092302962642817 + (1.2608026657501157 * x_1))))) - (-0.0039 + (0.00535 * (-0.669488742160413 + (0.8024202405723764 * x_0))))))))**2)) * (0.308 + (0.9450000000000001 * cos((-8.17 + (-0.5740000000000001 * (-1.8092302962642817 + (1.2608026657501157 * x_1))))))))
strogatz_predprey1,ok,2,NoRef,0.973060217456375,0.3857673956117505,43.0,11.498245239257812,,0.0,((-0.00898 + (-0.052700000000000004 * arctan((0.636 + (-0.7945524687408121 + (0.8507325088617598 * x_0)))))) * ((-16.9 + (-2.41 * abs((0.24300000000000002 * (-0.7945524687408121 + (0.8507325088617598 * x_0)))))) + (((35.300000000000004 * (-1.88614632091165 + (0.38086615907634147 * x_1))) - (((-0.0791 + (-0.7945524687408121 + (0.8507325088617598 * x_0))) - (0.008499999999999999 + (-0.17500000000000002 * (-1.88614632091165 + (0.38086615907634147 * x_1))))) * (-0.00654 + (-9.6 * (-0.7945524687408121 + (0.8507325088617598 * x_0)))))) + (0.038900000000000004 + (2.73 * (-1.88614632091165 + (0.38086615907634147 * x_1)))))))
strogatz_predprey2,ok,2,NoRef,0.912838640551242,0.4630911414582059,27.0,12.958568096160889,,0.0,(2.0 + (-3.0 * exp(((-0.3 + (-0.8 * (-0.7945524687408121 + (0.8507325088617598 * x_0)))) + ((-0.1 + (0.5 * (-1.88614632091165 + (0.38086615907634147 * x_1)))) + (-0.001 + (-0.09000000000000001 * arctan((60.0 + (94.9 * (-0.7945524687408121 + (0.8507325088617598 * x_0))))))))))))
