dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,128,3,BFGS,0.8796419543603353,0.5045098472454448,77,177.77,,0.1,(46.93576515254726 + ((0.5071390054218798 * (-4.543727322540949 + (0.8485018342746871 * x_2))) + ((0.5145271716002171 * abs((1.0588135483133891 + (0.5960779711895399 * (-3.689442089095961 + (0.6641659926365366 * x_0)))))) + ((-0.3555558935352874 * abs((0.13243490557607018 + (15.36939977417952 * abs((25.841317757278382 + (-0.0809350810579999 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))))) + abs((98.98858169548885 + (0.14970033324386434 * ((abs((0.6425084924168789 + (11.35582434459872 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))) * (32.03029486182602 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))) * (0.0054986676106774535 * abs((0.9377669351653561 + (0.3062032873183975 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))))))))))
1028_SWD,ok,10,256,4,BFGS,0.34643852938060227,0.652980477068109,36,440.13,,0.1,(3.617036853672751 + (((0.32309971848798 * (-2.1689364464787513 + (0.972617240573431 * x_2))) + (0.26603155537874645 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) - (-2.358913974638794 * cos(((49.56882319364067 * (-2.3736872687394746 + (1.012233376861183 * x_4))) + (-0.020829158031289596 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))))))
1029_LEV,ok,4,256,4,BFGS,0.5719425704772296,0.6351388207173758,30,457.94,,0.1,(1.5623845580159217 + ((0.27254831116756406 * (-1.3777422408758337 + (0.721331016165358 * x_3))) + ((0.5797836345762819 * (-1.490881128154221 + (0.7665198602335326 * x_1))) + (47.307328478137464 * tan((47.12769413639342 + (0.008448130766645488 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))))))))
1030_ERA,ok,4,128,3,BFGS,0.4367633428476061,1.5064832244049144,72,524.69,,0.1,(49.49701714091492 + ((((0.12610204821131776 * tan((46.77121264348577 + (0.7822719253341464 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))))) + (29.034986724543813 * tan((48.518559736296226 + (48.35658278533262 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) + (-0.010610204906101192 * tan((4.848758123649876 + (0.6197215125873656 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) + ((12.836941952100993 * tan((-0.43369455951106284 + (0.048270920450588284 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))))) + (0.11475275160502785 * ((-1.4098777764544617 + (0.21377979931075994 * x_3)) * tan((0.16079714446837312 + (0.25656209967967736 * (-1.775251610451698 + (0.26918144207000727 * x_2))))))))))
1096_FacultySalaries,ok,4,256,4,BFGS,0.5203854427471961,3.165845669543002,54,600.23,,0.1,(43.71955232937171 + (((0.3994636227071633 * (tan((0.19537438951938857 + (0.08608010784655706 * (-0.5619514869490163 + (2.341464528954235 * x_0))))) * ((0.6263869993384215 * tan((0.784602175293966 + (60.220574005532 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) + (34.190958292572475 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) + (0.05482261456089424 * tan((0.08127333841888695 + (7.48345459036268 * (-9.112288776127002 + (0.17718880655098507 * x_3))))))) + (-9.112288776127002 + (0.17718880655098507 * x_3))))
1193_BNG_lowbwt,ok,9,128,3,BFGS,0.6179640526958997,447.8462086398456,52,299.39,,0.1,(62.26421126567495 + (((74.68809904748332 * abs((52.998100063288746 + (1.2704704847370403 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))) + (-0.28518399829306107 * (((62.00778102669226 * (-0.7018100265975371 + (2.126697050295567 * x_0))) + (-23.752419026032232 * abs((0.10895129446881684 + (-0.2840302700437133 * (-4.341145088689214 + (0.03261568031203464 * x_2))))))))**2)) - (32.69868962232388 * ((-0.9231403599700084 + (0.7474820728502092 * x_8)) * (-0.2412489548185819 + (4.386344633065126 * x_6))))))
1196_BNG_pharynx,ok,10,256,4,BFGS,0.47559250935629105,277.40063380465955,33,582.82,,0.1,(570.1917408631205 + ((((-70.19976387857545 * (-0.4676211227230167 + (1.585156348213616 * x_5))) + (-37.82312087119077 * (-1.3184242770282357 + (1.2437964877624863 * x_6)))) + (-68.71905297290334 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))) + (229.71878643858645 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))
1199_BNG_echoMonths,ok,9,128,3,BFGS,0.5190278197778024,10.754878660146218,106,198.29,,0.1,(-0.4587276812954545 + ((0.5862172635516443 * abs((-70.98017290632939 + (-0.3929549345734461 * (-6.139712387609727 + (1.3064991268887023 * x_5)))))) + (((0.05582667379767045 * abs((0.07611568114185305 + (-0.05383270440648088 * (-7.068403061162645 + (0.11366866615016445 * x_1)))))) + ((-0.6642140774812887 * abs((-0.06800182506686453 + (33.74957417078651 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))) + (-4.467908869077375 * (-0.5850486126764433 + (2.29430828500566 * x_8))))) + (0.009160265707357734 * abs((87.58745662623213 + (-0.0017868306796310247 * (((135.21516077168263 * abs((1.15298574193955 + (0.005523601075206849 * ((-3.0702386426579005 + (2.0989423382322308 * x_7)) * (-1.7077351386697883 + (0.1433472945228545 * x_4))))))) + abs((-0.07098329327876873 + (3.740357653766731 * abs((247.42854161337914 + (0.7176832049265185 * (-0.4525696378552518 + (2.66217434032501 * x_2))))))))) * ((53.74121642334083 * (-2.7393118696321914 + (0.1834262746734647 * x_6))) + (152.2246751201514 * (-2.7393118696321914 + (0.1834262746734647 * x_6))))))))))))
1201_BNG_breastTumor,ok,9,256,4,BFGS,0.0965022415229424,10.06995166801031,117,607.33,,0.1,(21.166295992507386 + (((0.17590186949935466 * ((-1.2500406497455434 + (0.8064778385455118 * x_6)) * (-1.2500406497455434 + (0.8064778385455118 * x_6)))) + (cos(((-0.2624051662478277 * cos(((41.555736820024734 * (-0.749436783737264 + (0.22607444456629383 * x_2))) + (24.807852506683624 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))))) + (50.56315554370627 * (-0.933007822647968 + (1.6963778593599417 * x_1))))) * ((((0.09061596590508697 * (-1.2500406497455434 + (0.8064778385455118 * x_6))) + (1.28407240506374 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) + (0.029328273056898946 * (((112.90839347069439 * (-0.933007822647968 + (1.6963778593599417 * x_1))) + ((41.52556072769255 * (-1.6200683918739798 + (1.270641875979592 * x_4))) + (-60.88681460236154 * (-0.6081636405595373 + (2.2524579279982864 * x_7))))) * tan((51.04156338486656 + (0.32304427033228356 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))))))) + (44.29701347786781 * tan((0.027184803268656757 + (51.74499082782394 * (-0.6081636405595373 + (2.2524579279982864 * x_7))))))))) + (0.9375376077540372 * (-5.513793854744495 + (0.10828748668207969 * x_0)))))
1203_BNG_pwLinear,ok,10,256,4,BFGS,0.4821683121818623,3.158013792709587,54,530.56,,0.1,(-0.48052970030108844 + ((((137.66097959577206 * tan((4.425260438619558 + (48.412776262945215 * (0.103834826330233 + (1.2979353291279123 * x_9)))))) + (1.7257461944539467 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) - (-0.0367846162943702 * (0.07462778926574919 + (1.2437964877624865 * x_6)))) * (((-0.7043483719905173 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) + (0.06841860284940951 * (0.07462778926574919 + (1.2437964877624865 * x_6)))) + (0.06656756915220158 * (-0.0689883074727411 + (1.1498051245456848 * x_7))))))
192_vineyard,ok,2,128,3,BFGS,0.7270577352544746,2.2736368541813614,83,160.64,,0.1,(0.6621722384632591 + ((0.004447812279030711 * (((290.6818440046811 * abs((48.15221478125531 + (-0.5428747623803916 * (-4.169458226011473 + (0.431896071220312 * x_1)))))) + (0.6158880782685232 * (((157.965178544335 * (-1.7076703227012184 + (0.5208144092695798 * x_0))) + (0.1983992240830979 * abs((-12.362549407364916 + (49.02889370082063 * (-1.7076703227012184 + (0.5208144092695798 * x_0))))))))**2)) * (0.09966298457272932 * (abs((0.10075840369535358 + (-0.07759425978626043 * (-4.169458226011473 + (0.431896071220312 * x_1))))) * (-1.7076703227012184 + (0.5208144092695798 * x_0)))))) + (0.48115153144280287 * (((1.256011348881585 * ((-2.212545764018129 + (-0.000188205079271731 * (-1.7076703227012184 + (0.5208144092695798 * x_0)))))**2) + (0.14737495053434724 * (-4.169458226011473 + (0.431896071220312 * x_1)))))**2)))
210_cloud,ok,5,64,2,BFGS,0.8742650916568332,0.38018575569188334,49,949.70,,0.1,(1.1880283538446004 + ((((0.08798937232876541 * tan((0.3524988541780869 + (-0.3386881960633482 * (-1.0 + (2.0 * x_0)))))) + (0.6050723622509921 * (-1.3542915032506988 + (1.1265769290074164 * x_3)))) + (-0.02965885103076408 * tan(((0.5976082642765241 * (-1.0570827394885711 + (0.7017329636726495 * x_2))) + (0.1737608247902948 * (-1.3542915032506988 + (1.1265769290074164 * x_3))))))) - (-0.45733755331315223 * (-1.0570827394885711 + (0.7017329636726495 * x_2)))))
215_2dplanes,ok,10,256,4,BFGS,0.7130938979642145,2.4921792883226455,135,267.11,,0.1,(-3.211630757182178 + ((-6.8945325959064805 * abs((0.03974021557212412 + (0.10828667061002038 * (0.07603639459945774 + (1.1697906861455036 * x_4)))))) + (((((0.23330850662964212 * abs((-1.708688133724463 + (0.1488005954331793 * (0.047524845652175754 + (1.1881211413043937 * x_5)))))) + ((0.6087702453377624 * (-0.030001500112509377 + (1.200060004500375 * x_7))) + (-0.025357898774307403 * abs((1.9779697829672667 + (11.77987494347404 * (-0.08057455696049687 + (1.2396085686230287 * x_8)))))))) + (((1.4385456460347061 * (0.07603639459945774 + (1.1697906861455036 * x_4))) + ((1.0321367285050522 * (0.047524845652175754 + (1.1881211413043937 * x_5))) + (0.024960950984338405 * abs((148.22669392930052 + (2.042978656321879 * (-0.0 + (1.2038585308576921 * x_2)))))))) + (0.11820566178277359 * (0.07603639459945774 + (1.1697906861455036 * x_4))))) + (0.017974548436400038 * ((((1.2460752081326802 * abs((38.810141495913854 + (-0.8356371791136964 * ((-0.03114373299321498 + (1.2457493197285991 * x_6)) * ((-0.03114373299321498 + (1.2457493197285991 * x_6)) * (-0.030001500112509377 + (1.200060004500375 * x_7)))))))) + (-0.03114373299321498 + (1.2457493197285991 * x_6))))**2 * (0.07784045951081109 * (0.02000400120040014 + (1.000200060020007 * x_0)))))) + (1.0571489704028627 * (-0.03138824102871723 + (1.2555296411486891 * x_1))))))
218_house_8L,ok,8,32,1,BFGS,0.45997697288035355,29782.698920813484,78,335.65,,0.1,(28002.672143985706 + (((-0.44293164105167704 * ((905.305866189578 + (-13.066774800307641 * (-8.051727895827435 + (16.731591247493967 * x_2)))))**2) + (((-37.4345542036794 * (-7.96909359589554 + (11.183243963289556 * x_3))) + (3071.729628494586 * ((-1.2420794631854704 + (7.280171385208041 * x_5)) * ((-2.345486411810591 * (-0.2735558448495786 + (0.00011731984031014947 * x_0))) + (1.9539391943538726 * (-8.745399041277315 + (1.4579020752294582 * x_6))))))) - ((1108.460166643371 * (-0.2735558448495786 + (0.00011731984031014947 * x_0))) + (-157.40470111129486 * ((-54.9102456562062 + (0.22446902814986402 * (-0.2735558448495786 + (0.00011731984031014947 * x_0)))))**2)))) - ((-291.6458864391651 + (87.1609020606368 * (-0.4354479563349125 + (54.54681096758018 * x_1)))))**2))
225_puma8NH,ok,8,128,3,BFGS,0.3705750283930116,4.462108760407143,87,306.41,,0.1,(1.939829503612187 + ((0.2663670108344113 * (-0.031097369547192274 + (0.9193982774372316 * x_5))) + ((2.3291872265629383 * (-0.07572364437013104 + (0.9138359759094098 * x_3))) + (((((2.5511057961542845 * (-0.07710723083161697 + (0.9234518833549156 * x_1))) + (-0.6876438235984692 * sin(((1.8092447345139688 * (-0.09681685113891113 + (2.9689157921727203 * x_6))) + (0.32480695905951606 * (-0.09681685113891113 + (2.9689157921727203 * x_6))))))) + ((1.8381109505084372 * (-0.06585661692848528 + (0.8959411617355382 * x_2))) + (0.8716141895142857 * cos(((53.08928216575401 * (-0.022023529833178766 + (0.8877592340102415 * x_4))) + (1.0404556456373077 * (-0.07572364437013104 + (0.9138359759094098 * x_3)))))))) + (-0.20922737884327883 * (-0.07572364437013104 + (0.9138359759094098 * x_3)))) + (-1.1547346120088662 * (-0.07572364437013104 + (0.9138359759094098 * x_3)))))))
228_elusage,ok,2,32,1,BFGS,0.8466681274726776,9.315537019326818,88,176.30,,0.1,(0.7420370776435914 + ((18.59315855854733 * (((0.2629585196856733 * (-3.494368107086116 + (0.06492913712491094 * x_0))) + ((0.878328206653535 * ((0.792995586150727 + (-0.03389788034835545 * (-1.588178110693536 + (0.281773535768208 * x_1)))))**2) + (0.4936723182591407 * (((0.5139037458392299 * (-1.588178110693536 + (0.281773535768208 * x_1))) + (0.055873206125488295 * (-3.494368107086116 + (0.06492913712491094 * x_0)))) * ((0.46681048645083845 + (-0.5704156136858909 * (-1.588178110693536 + (0.281773535768208 * x_1)))))**2)))))**2) + (70.66207252067261 * (((0.407471434354449 * ((66.7606635611836 + (0.4712676058920051 * (-3.494368107086116 + (0.06492913712491094 * x_0)))))**2) + (0.11374421505548771 * (-1.588178110693536 + (0.281773535768208 * x_1)))) * ((-0.01550200392387785 + (0.0064937549992128835 * (-3.494368107086116 + (0.06492913712491094 * x_0)))))**2))))
229_pwLinear,ok,10,64,2,BFGS,0.7130360039627834,2.391055530214938,104,316.90,,0.1,(0.3743234024417452 + ((-2.5286958365224397 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) + (((((((0.07877919836271194 + (1.2119876671186451 * x_9)) * (0.024625761678892605 + (1.2312880839446303 * x_6))) * (-0.1341402443637684 * (0.024625761678892605 + (1.2312880839446303 * x_6)))) + (-0.702230214574141 * (-0.029787773436724965 + (1.1915109374689985 * x_7)))) + ((1.1018730261606353 * (0.1308442961026054 + (1.2461361533581465 * x_1))) + ((0.28130248336272407 * (0.07877919836271194 + (1.2119876671186451 * x_9))) + ((1.1183620594537134 * (-0.12885860791431716 + (1.227224837279211 * x_5))) + (13.37392447262906 * (((-0.004472635929790815 * (-0.029787773436724965 + (1.1915109374689985 * x_7))) + (0.01259118134829347 * (-0.12885860791431716 + (1.227224837279211 * x_5)))) * (0.13630961003872036 + (1.1853009568584378 * x_2)))))))) + (-0.029787773436724965 + (1.1915109374689985 * x_7))) + (263.73431954052387 * tan((0.1387224643159122 + (46.31812596046869 * (-0.0708881205008336 + (1.2888749181969743 * x_4)))))))))
230_machine_cpu,ok,6,256,4,BFGS,0.9247838373248336,44.77422877532546,61,460.50,,0.1,(33.258742191555086 + (((1.0244266284064087 * abs((42.79905303945603 + (15.099620565895428 * (-0.7169976175893781 + (0.03797656872825096 * x_5)))))) + ((161.06441217412976 * ((-0.2195715197159126 + (-0.38151605778416875 * (-1.0157486231470525 + (8.41758769093056e-05 * x_2)))))**2) + (((0.5427780586344935 + (2.953047620883387 * (-0.7047263654341995 + (0.14485639577270287 * x_4)))) + (0.11187147133240294 * (-0.7169976175893781 + (0.03797656872825096 * x_5)))) + (38.20370054936234 * (-0.6323138508124196 + (0.02430107036173788 * x_3)))))) + (42.116719636060736 * (-0.7539783429454673 + (0.00025457276565311854 * x_1)))))
