dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,256,4,BFGS,0.8758941411113349,0.5123045654015556,53,429.64,,0.0,(1.1798387392682104 + (((0.027145903269256366 * ((155.4574831010829 * tan((0.34029482107387077 + (5.168904455390848 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))))) + (18.99655581879481 * (-6.146798559422659 + (1.0976425998969035 * x_3))))) + (8.219339275686885 * ((-0.7122291252894668 + (-0.0251594634665894 * (-3.689442089095961 + (0.6641659926365366 * x_0)))))**2)) + ((0.02297718139968031 * (-4.543727322540949 + (0.8485018342746871 * x_2))) + (0.42675615825451724 * (-4.543727322540949 + (0.8485018342746871 * x_2))))))
1028_SWD,ok,10,256,4,BFGS,0.3731755563498985,0.6394843759133809,38,576.66,,0.0,(1.0250380680000282 + ((0.15088094669837188 * (-2.3736872687394746 + (1.012233376861183 * x_4))) + ((1.3583200269704916 * tan((1.1094469667466673 + (0.013897801114517442 * (-2.7885115085974532 + (1.4154880754301793 * x_0)))))) + ((0.1694589174240178 * (-2.6745450995191127 + (1.3046561461068844 * x_9))) + (0.3538988891736954 * (-2.1689364464787513 + (0.972617240573431 * x_2)))))))
1029_LEV,ok,4,256,4,BFGS,0.6130964444959857,0.6038359965313289,101,554.13,,0.0,(0.38391782089927373 + (((1.3215248591634685 * exp((-149.4192272139345 + (0.09687067511416769 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))) + (((0.4131374951663148 * (-1.3537592065395143 + (0.7317617332646023 * x_0))) + (0.14796929438371131 * (-1.3777422408758337 + (0.721331016165358 * x_3)))) + (0.3717144886265086 * exp((0.8824199298431514 + (0.10394315254114006 * (-1.3777422408758337 + (0.721331016165358 * x_3)))))))) + ((0.1380065214646562 * cos((((2.231975147077481 * exp((1.9356755388596296 + (-0.44614514478921496 * (-1.3537592065395143 + (0.7317617332646023 * x_0)))))) + (6.627255881292275 * exp((1.1794616072611945 + (-0.07139488626944687 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))) + (0.22802686819857876 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) + ((0.22914156667002622 * exp((0.5569499379214795 + (0.4520617131851956 * (-1.338219395737549 + (0.6915862510271571 * x_2)))))) + (0.6419397848006585 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))
1030_ERA,ok,4,32,1,BFGS,0.4282786547868054,1.517787763611374,38,549.52,,0.0,(11.234309198851335 + (((1.5111988197380013 * (-1.8026202153614108 + (0.2599308169230585 * x_1))) + (0.6303946788009485 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))) - ((0.37047261142116994 * (-1.8026202153614108 + (0.2599308169230585 * x_1))) + (72.54206813818192 * tan((0.0949477930759152 + (-0.005877895550393367 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))))))
1096_FacultySalaries,ok,4,128,3,BFGS,0.9000332499793307,1.4453444136756735,103,99.19,,0.0,(7.302253212908155 + (((0.412088798986332 * ((4.285800561034641 + (0.6270153158774234 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))**2) + (0.03715682776359727 * ((-27.602664434155727 + (0.07210196311615574 * (((0.7023325842569133 * (-8.427043203926056 + (0.14480699704232594 * x_1))) + (2.2863344294599184 * ((0.025736816686963954 + (0.5102280985034124 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))**2)) + (0.07810128045268408 * (0.4630658186920853 * (((0.37087548522949243 + (1.036983468443995 * (-0.5619514869490163 + (2.341464528954235 * x_0)))))**2 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))))))**2)) + (143.29611903302845 * (((-0.035954049889492884 * (-7.346234106637792 + (0.09939270487749849 * x_2))) + (0.05899489111803513 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) * ((0.6866151778220533 + (0.3800928480667729 * (((-0.24812729283091617 * (-9.112288776127002 + (0.17718880655098507 * x_3))) + (0.6065335967384207 * (-7.346234106637792 + (0.09939270487749849 * x_2)))))**2)))**2))))
1193_BNG_lowbwt,ok,9,256,4,BFGS,0.6301783951518186,440.6288476627562,123,186.61,,0.0,(8.596640003194837 + (((-0.0710562829922773 * (abs((324.3384474050463 + (-22.322890685558445 * (-4.341145088689214 + (0.03261568031203464 * x_2))))) * (0.23013322970886865 * abs((50.45721369168131 + (106.50875155215454 * (-0.7018100265975371 + (2.126697050295567 * x_0)))))))) + (((-0.08032392627655743 * (-4.7670358854990456 + (0.20452064575820186 * x_1))) + (((-98.3681349927393 * (-0.7018100265975371 + (2.126697050295567 * x_0))) + ((0.6644310854623271 * (((1.3797444543089759 * (-0.2412489548185819 + (4.386344633065126 * x_6))) + (13.544105351187632 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))**2) + (267.3155401944753 * (-2.1712405933672376 + (2.631806779839076 * x_7))))) + ((1.3676277497560683 * ((45.52489527681661 + (0.12486941285833869 * (-0.4860799579773197 + (1.7055437122011219 * x_5)))))**2) + (99.58280751711612 * ((-0.45890492134548017 + (-1.1023549558340568 * (-1.7565107319733801 + (1.3459852352286439 * x_3)))))**2)))) + ((5.474145754178803 * (-0.8422598823413764 + (2.029541885159943 * x_4))) + (-42.38843047069551 * (-0.8422598823413764 + (2.029541885159943 * x_4)))))) + abs((245.0827533955989 + (29.747504887658796 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))))
1196_BNG_pharynx,ok,10,64,2,BFGS,0.46697052253978577,279.67176240771545,55,421.49,,0.0,(565.3902642812279 + (((-60.598006915285666 * (-0.9685432901733048 + (1.0249135345749258 * x_7))) + (-66.78182567965965 * (-0.4676211227230167 + (1.585156348213616 * x_5)))) - ((-1.829099653872071 * ((-1.020204061220407 + (2.000400120040014 * x_2)) * (-1.6870547845739468 + (2.279803762937766 * x_1)))) + (((-225.34700566238837 * (-0.5927489783638191 + (2.279803762937766 * x_9))) + (-375.066517400673 * (-1.020204061220407 + (2.000400120040014 * x_2)))) + (383.0315247194874 * (-1.020204061220407 + (2.000400120040014 * x_2)))))))
1199_BNG_echoMonths,ok,9,128,3,BFGS,0.5044007758060134,10.91718940975614,124,225.30,,0.0,(0.8793143216973136 + (((1.3400156534079404 * abs((86.45486062085104 + (-13.896807965334453 * (-2.7393118696321914 + (0.1834262746734647 * x_6)))))) + ((19.515752146123212 * (-2.7393118696321914 + (0.1834262746734647 * x_6))) + (((((-0.6938407768075652 * (-6.139712387609727 + (1.3064991268887023 * x_5))) + (-3.8019399121681987 * (-0.5850486126764433 + (2.29430828500566 * x_8)))) + (((((0.48145015169755356 * (-2.7393118696321914 + (0.1834262746734647 * x_6))) + (1.3959869459968308 * (-0.4525696378552518 + (2.66217434032501 * x_2)))) + (0.1671037494235379 * (-2.050416905868444 + (9.294535034379726 * x_3)))) + abs((4.484636400016081 + (84.88941236379216 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))))) * (-0.008248932204700219 * ((-1.7077351386697883 + (0.1433472945228545 * x_4)) * (-0.5654786543477563 * (-2.050416905868444 + (9.294535034379726 * x_3))))))) + (-0.11444119895492408 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))) * (-0.5850486126764433 + (2.29430828500566 * x_8))))) - ((0.019999252213602596 * (-3.0702386426579005 + (2.0989423382322308 * x_7))) + (54.38848309621318 * abs((1.6515337181542096 + (0.13971931972444035 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))))))
1201_BNG_breastTumor,ok,9,64,2,BFGS,0.11639434359287959,9.958480792663604,43,640.07,,0.0,(121.67249708670823 + ((0.048320048843741636 * tan((47.66774595650469 + (48.86977248731685 * (-1.6200683918739798 + (1.270641875979592 * x_4)))))) + (((20.358837586611756 * tan((49.92730442650675 + (48.54356164371444 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))))) + (1.1584927508520368 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))) + (-0.015057021765643119 * (-0.5388159060803247 + (2.3947373603569986 * x_3))))))
1203_BNG_pwLinear,ok,10,256,4,BFGS,0.5787816228526897,2.848218915568523,96,335.48,,0.0,(31.612789491559525 + (((0.5640682026039618 * ((-0.07017213284715496 + (1.0024590406736422 * x_0)) * (((-56.35232142223035 * (-0.07017213284715496 + (1.0024590406736422 * x_0))) + ((1.433783145117097 * (-0.032157832069216574 + (1.286313282768663 * x_4))) + ((-0.036220268827407864 * tan((0.7746905663233137 + (0.20586467453887847 * (0.07462778926574919 + (1.2437964877624865 * x_6)))))) + (94.5523633000156 * tan((-0.572345135106338 + (-0.004753381531390672 * (0.103834826330233 + (1.2979353291279123 * x_9))))))))) + (((88.33947592373084 * tan((1.1335413446365772 + (51.78734374807013 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))))) + (0.185410998082026 * (-0.018397292771819163 + (1.2264861847879442 * x_3)))) + (0.5652211372056533 * (-0.0689883074727411 + (1.1498051245456848 * x_7))))))) + (0.9256753437222001 * (-0.032157832069216574 + (1.286313282768663 * x_4)))) + (0.9846978044982091 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))))
