dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,BFGS,0.8724237531977661,0.519417998659263,61,105.49,,0.1,(2.2462341661115497 + (((((0.4613601056792811 * (-6.146798559422659 + (1.0976425998969035 * x_3))) + (0.4512520294947431 * (-3.1650294675520123 + (0.6187740894529837 * x_1)))) + (1.3948576265747983 * inv((0.12008715591914065 + (0.36869843058504204 * inv((0.9320820930385159 + (0.17214161177414838 * (-4.543727322540949 + (0.8485018342746871 * x_2)))))))))) + (0.31645440325110397 * (-3.689442089095961 + (0.6641659926365366 * x_0)))) + inv((2.8885251074701834 + (0.9009357383881937 * (0.9894254425628 * inv((6.0614707785742326 + (0.5170153502071808 * (-4.543727322540949 + (0.8485018342746871 * x_2)))))))))))
1028_SWD,ok,10,BFGS,0.31923796413752026,0.6664301555277056,110,93.77,,0.1,(3.849340621030607 + (((0.0606131934741513 * sin((0.7634271025219621 + (0.12112401714092552 * (-2.8621521711176414 + (1.2806049982629268 * x_1)))))) + (-0.008919745080684605 * (-2.3736872687394746 + (1.012233376861183 * x_4)))) * (((((2.4967223594628476 * (-2.7885115085974532 + (1.4154880754301793 * x_0))) + (4.085984358539639 * (inv((6.24977717021202 + (0.22095208794603924 * inv(((0.47261511270611434 * (-2.9293890917537175 + (2.0064308847628203 * x_5))) + (3.5284766798955847 * (-2.1689364464787513 + (0.972617240573431 * x_2)))))))) * (-2.566230515260939 + (1.2704111461687815 * x_8))))) + ((8.03575792568206 * inv((47.70480391961913 + (0.12398929627000625 * (-2.4841136395988146 + (1.2451697441598069 * x_3)))))) + (2.906184806170094e-06 * inv((49.67832815893252 + (39.798769155257716 * (-2.5904290116544066 + (1.3421911977483971 * x_6)))))))) + ((7.125197839076349 * (-2.1689364464787513 + (0.972617240573431 * x_2))) + (0.4486370865258914 * (-2.8621521711176414 + (1.2806049982629268 * x_1))))) + (0.5493092646499044 * (-2.5904290116544066 + (1.3421911977483971 * x_6))))))
1029_LEV,ok,4,BFGS,0.5719043251596698,0.63516719371322,44,104.29,,0.1,(1.8268524931497134 + (((0.2725695039922018 * (-1.3777422408758337 + (0.721331016165358 * x_3))) + (0.5734333328120722 * (-1.490881128154221 + (0.7665198602335326 * x_1)))) - ((-4.213949305701689 * (-1.3537592065395143 + (0.7317617332646023 * x_0))) - ((-3.814231217815501 * (-1.3537592065395143 + (0.7317617332646023 * x_0))) - inv((11.904697232401858 + (0.8998656325936656 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))))))
1030_ERA,ok,4,BFGS,0.45654359289788726,1.4797937898123088,76,107.58,,0.1,(5.656479930702027 + ((6.620484898230842 * inv((14.091760314207207 + (2.1177654738597393 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))))) - (((0.09261800340929782 * (-1.4098777764544617 + (0.21377979931075994 * x_3))) + (((((-1.0658986574797096 * (-1.8026202153614108 + (0.2599308169230585 * x_1))) + (-0.6864508581747342 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))) + (-1.3403103002720034 * (-1.775251610451698 + (0.26918144207000727 * x_2)))) + inv((2.163450545463645 + (1.1610287202075265 * (-1.4098777764544617 + (0.21377979931075994 * x_3)))))) + (-1.775251610451698 + (0.26918144207000727 * x_2)))) + (117.22882736126269 * inv((103.21181353768623 + (-0.030473091465269234 * (-1.6821592654348876 + (0.2229502008528678 * x_0)))))))))
1096_FacultySalaries,ok,4,BFGS,0.7594380872840685,2.242110413369638,86,163.24,,0.1,(55.400057486571804 + ((7.646737564426761 * (-8.427043203926056 + (0.14480699704232594 * x_1))) + (((0.6182858943851774 * inv(((38.72855846026119 * (-9.112288776127002 + (0.17718880655098507 * x_3))) + (-0.1959785369791785 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) - (18.988708307066368 * (-0.5619514869490163 + (2.341464528954235 * x_0)))) - (((-18.324115803816078 * (-0.5619514869490163 + (2.341464528954235 * x_0))) + (52.0590736202405 * inv((4.4995284079058075 + (0.3339842505844214 * (-0.5619514869490163 + (2.341464528954235 * x_0))))))) + (((4.777513115302219 * (-7.346234106637792 + (0.09939270487749849 * x_2))) + (-1.1011575698067362 * inv((0.3301208081615956 + (9.147014943409747 * (-9.112288776127002 + (0.17718880655098507 * x_3))))))) + (0.3757139714726795 * (-7.346234106637792 + (0.09939270487749849 * x_2))))))))
1193_BNG_lowbwt,ok,9,BFGS,0.5827392817528103,468.03737820126725,121,199.93,,0.1,(-7.468926763038729 + ((83.6579567098745 * ((5.888291365255441 + (-0.4786139400639281 * (1.0597987687956694 * (-0.7018100265975371 + (2.126697050295567 * x_0))))))**2) + ((1.681180395847679 * (-4.7670358854990456 + (0.20452064575820186 * x_1))) + ((2.696304488136043 * (-0.2412489548185819 + (4.386344633065126 * x_6))) - ((77.36742905157593 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (0.3106099701874082 * (((0.058023043969560664 * (-0.8422598823413764 + (2.029541885159943 * x_4))) + (0.05193016606340446 * (-0.9231403599700084 + (0.7474820728502092 * x_8)))) * ((0.44382464721127424 * ((5.917510258823394 + (0.12913250934409867 * (-2.1712405933672376 + (2.631806779839076 * x_7)))))**2) - (((((0.5302373528683626 * (-1.7565107319733801 + (1.3459852352286439 * x_3))) + (4.5510107635887485 * (-0.7018100265975371 + (2.126697050295567 * x_0)))) + (5.694685030897917 * cos((5.165991389832369 + (0.7228902919681093 * (-4.341145088689214 + (0.03261568031203464 * x_2))))))) + (-2.1712405933672376 + (2.631806779839076 * x_7))) * (0.12557028841833487 * ((-24.397426761069777 + (17.397687452468627 * (-3.460627849625094 * (-0.4860799579773197 + (1.7055437122011219 * x_5))))))**2))))))))))
1196_BNG_pharynx,ok,10,BFGS,0.48762352768649875,274.2000915048005,164,117.10,,0.1,(643.7194784325341 + (((-3.419048497230577 * (-1.3076038098835963 + (1.5659925866869417 * x_3))) + (-40.41589794557807 * (-5.275654998591812 + (0.08600904883651646 * x_4)))) - (((-12.189838986900359 * (-1.3184242770282357 + (1.2437964877624863 * x_6))) + ((-5.435832551214354 * (-1.3184242770282357 + (1.2437964877624863 * x_6))) + (((-25.241988098064624 * (-5.275654998591812 + (0.08600904883651646 * x_4))) + (((6.511149629799936 * ((-3.2822428635254397 + (0.6649131329293194 * (-1.4913495697629222 + (1.021472308056796 * x_8)))))**2) - ((-3.889166011318812 * inv(((27.170983338352663 * (-1.3076038098835963 + (1.5659925866869417 * x_3))) + ((-125.01985511145716 * ((-13.030266150863017 + (-14.005696949637894 * (-0.4676211227230167 + (1.585156348213616 * x_5)))))**2) + ((-1.020204061220407 + (2.000400120040014 * x_2)) * (-1.020204061220407 + (2.000400120040014 * x_2))))))) - (230.89868313349382 * (-0.9685432901733048 + (1.0249135345749258 * x_7))))) + (7.2708809786156205 * (-1.020204061220407 + (2.000400120040014 * x_2))))) + (((-228.12782336157568 * (-0.5927489783638191 + (2.279803762937766 * x_9))) + ((-14.744256908542923 * (-1.6870547845739468 + (2.279803762937766 * x_1))) + ((55.56548394583369 * (-1.3184242770282357 + (1.2437964877624863 * x_6))) - (162.56376647759146 * (-0.9685432901733048 + (1.0249135345749258 * x_7)))))) + (71.02107151587776 * (-0.4676211227230167 + (1.585156348213616 * x_5))))))) + ((-0.5927489783638191 + (2.279803762937766 * x_9)) * ((-1.6870547845739468 + (2.279803762937766 * x_1)) * (-0.4676211227230167 + (1.585156348213616 * x_5)))))))
1199_BNG_echoMonths,ok,9,BFGS,0.5376392181197172,10.544743767629546,130,134.82,,0.1,(0.143264502573332 + (((124.68586662824686 * sin((2.9620200932086593 + (0.06072281643942129 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))) + ((-2.196352574414089 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - ((-0.09697493972448468 * (((-0.09518199263722504 * inv((0.4251964473505696 + (11.75874765382843 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))) + (-0.1595148363332587 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))) * ((((-0.06679683801316122 * inv((209.35370168014276 + (0.8924831379389842 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))))) + (-0.6494856722438733 * (-2.7393118696321914 + (0.1834262746734647 * x_6)))) + ((-158.07194549463065 * (-2.7393118696321914 + (0.1834262746734647 * x_6))) + ((-0.4118712392736661 * (-7.068403061162645 + (0.11366866615016445 * x_1))) - (115.66058564598535 * (sin((-0.6971551755271372 + (-0.023059455495022016 * (-2.050416905868444 + (9.294535034379726 * x_3))))) * (0.6653135918659641 * (-2.7393118696321914 + (0.1834262746734647 * x_6)))))))) + sin((2.7886121059227875 + (1.3842519567624896 * (-0.4525696378552518 + (2.66217434032501 * x_2)))))))) + (4.17260344560578 * (-0.5850486126764433 + (2.29430828500566 * x_8)))))) + (0.7395721408506253 * (-6.139712387609727 + (1.3064991268887023 * x_5)))))
1201_BNG_breastTumor,ok,9,BFGS,0.11421932086636788,9.970729814116783,123,118.54,,0.1,(48.178097710733795 + (((-0.047654084388776 * cos((10.797190096544625 + (-0.08072298441327619 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))))) + ((3.632119805347953 * sin(((36.01776502610758 * (-0.749436783737264 + (0.22607444456629383 * x_2))) + (0.7799375855558321 * inv((1.3509179812643382 + (-0.6949420172551735 * (-0.75 + (2.0833333333333335 * x_8))))))))) - (((0.25381030924849335 * (-1.2500406497455434 + (0.8064778385455118 * x_6))) + ((41.60948516647832 * cos((0.8887275316349794 + (0.5644673845787789 * (-0.933007822647968 + (1.6963778593599417 * x_1)))))) + sin((0.36767730279233746 + (5.779444114235115 * (-0.5388159060803247 + (2.3947373603569986 * x_3))))))) + (((-2.2221043879550457 * (-5.513793854744495 + (0.10828748668207969 * x_0))) + ((1.5884988329047136 * (-1.6200683918739798 + (1.270641875979592 * x_4))) - ((1.553504716640112 * (-0.6081636405595373 + (2.2524579279982864 * x_7))) + (-0.009241694455872862 * sin((23.510068254087003 + (13.896455371558854 * (-0.749436783737264 + (0.22607444456629383 * x_2))))))))) + (19.32357128453212 * (-0.933007822647968 + (1.6963778593599417 * x_1))))))) - (-0.44619778241571384 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))))
1203_BNG_pwLinear,ok,10,BFGS,0.4724330029533781,3.1875611196354954,127,104.16,,0.1,(-0.5876457489062819 + ((0.052744109143023465 * (((0.25101725245510453 * ((0.07462778926574919 + (1.2437964877624865 * x_6)) * (0.103834826330233 + (1.2979353291279123 * x_9)))) + ((0.7872377327981503 * ((inv((5.905301744953345 + (-0.8362450519956619 * (-0.032157832069216574 + (1.286313282768663 * x_4))))) * inv((0.4537703391759891 + (0.3723320092146034 * (-0.012127673025267264 + (1.2127673025267265 * x_2)))))) * (-0.25953965595476425 * (-0.032157832069216574 + (1.286313282768663 * x_4))))) + (-10.980336506936332 * (-0.07017213284715496 + (1.0024590406736422 * x_0))))) * ((0.3289322530527581 * inv((32.604930760125654 + (0.3198009416386667 * (0.23480352857641618 + (1.2692082625752226 * x_1)))))) + ((2.600516812908978 * (-0.012127673025267264 + (1.2127673025267265 * x_2))) + ((0.6984209347628147 * inv(((0.5431882945596631 * inv((5.4556757671356415 + (59.489379233330595 * (-0.07017213284715496 + (1.0024590406736422 * x_0)))))) + inv((6.127508742297742 + (0.47072490688926405 * (0.10854662075011276 + (1.1425960078959239 * x_8)))))))) + (0.2689676650515983 * (-0.3106848830006 + (1.2427395320024 * x_5)))))))) + (0.39526270922967277 * ((-0.018397292771819163 + (1.2264861847879442 * x_3)) * (-0.07017213284715496 + (1.0024590406736422 * x_0))))))
