dataset,status,n_features,beam_size,attempt,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1027_ESL,ok,4,64,2,BFGS,0.8875229929750893,0.4877125818872275,106,182.40,,0.001,(3.383257667618203 + (((1.7423415601388452 * (-6.146798559422659 + (1.0976425998969035 * x_3))) - ((2.2820308426036746 * (-6.146798559422659 + (1.0976425998969035 * x_3))) - (((0.09697280859127311 * ((-6.146798559422659 + (1.0976425998969035 * x_3)) * ((1.374437440908581 * (-3.689442089095961 + (0.6641659926365366 * x_0))) - (2.2393351915246917 + (-0.7426146082052059 * (-4.543727322540949 + (0.8485018342746871 * x_2))))))) - (-0.2811582531154866 * (-3.689442089095961 + (0.6641659926365366 * x_0)))) - (-0.839560387969684 + (1.1557014950276958 * (-6.146798559422659 + (1.0976425998969035 * x_3))))))) - ((((0.06220794972125854 * (-4.543727322540949 + (0.8485018342746871 * x_2))) - (2.453969234945488 * (-6.146798559422659 + (1.0976425998969035 * x_3)))) - ((1.5758572072247716 * sin((0.712190116990095 + (0.4561562443185554 * (-4.543727322540949 + (0.8485018342746871 * x_2)))))) - (1.1703446237917658 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))) - (1.5839527052109705 * (-3.1650294675520123 + (0.6187740894529837 * x_1))))))
1028_SWD,ok,10,64,2,BFGS,0.4415857757004621,0.6035805165286721,117,284.68,,0.001,(5.189398582421735 + ((0.436278769439008 * sin(((1.816548114613565 * sin((1.1801017669524088 + (1.758302008391066 * sin((1.6864389629534662 + (0.22797165074609826 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))))))) - ((0.9773962091588895 * (-2.3736872687394746 + (1.012233376861183 * x_4))) - (0.9091943501456918 * (-2.6745450995191127 + (1.3046561461068844 * x_9))))))) - (((0.13235244726700235 * (-2.1689364464787513 + (0.972617240573431 * x_2))) - (-0.03132560610871386 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))) - (((2.5031982578383865 * (-2.6745450995191127 + (1.3046561461068844 * x_9))) - ((1.7885615495418339 * sin((2.0791901494103886 + (0.17994889127551938 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))))) - ((0.14192215750996956 * ((-2.7885115085974532 + (1.4154880754301793 * x_0)) * (0.8223771098744486 + (0.81917285370083 * (-2.9293890917537175 + (2.0064308847628203 * x_5)))))) - ((-0.3252314311931126 * (-2.3736872687394746 + (1.012233376861183 * x_4))) - (0.48560824955413406 * (-2.1689364464787513 + (0.972617240573431 * x_2))))))) - (2.616449275491785 * (-2.6745450995191127 + (1.3046561461068844 * x_9)))))))
1029_LEV,ok,4,256,4,BFGS,0.6445868528044725,0.5787411769669281,102,270.20,,0.001,(1.9976750383674071 + (((0.4534131224108562 * sin(((1.619069764980674 * (-1.3777422408758337 + (0.721331016165358 * x_3))) - (0.3120422813303376 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - ((-0.18052367065904984 * (-1.338219395737549 + (0.6915862510271571 * x_2))) - ((1.3772340933349279 * sin((0.48580684868413626 + (1.7206124613784137 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - (0.2512619011024574 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - (1.9007597078359142 * sin(((1.4672245791167509 * sin((1.8188601324959688 + (1.3474297677063216 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - ((1.6313115019097904 * sin((2.543141837525482 + (1.3620463940394796 * (-1.490881128154221 + (0.7665198602335326 * x_1)))))) - (((-0.2215654841078114 * (-1.3537592065395143 + (0.7317617332646023 * x_0))) - (0.7097409545388063 * (-1.490881128154221 + (0.7665198602335326 * x_1)))) - (0.08148921454009458 * (-1.490881128154221 + (0.7665198602335326 * x_1))))))))))
1030_ERA,ok,4,128,3,BFGS,0.5070181651814442,1.4094001137618863,125,280.25,,0.001,(5.109709387673295 + ((-0.8674640053388805 * sin(((2.0674040891414265 * (-1.6821592654348876 + (0.2229502008528678 * x_0))) - (3.1942164225613396 * sin((1.5127126424314774 + (1.1273451074136034 * (-1.4098777764544617 + (0.21377979931075994 * x_3))))))))) - ((((((2.690702157750138 * sin((0.305992611646565 + (0.6479980757192858 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))) - (3.138499284437577 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) - (((0.5254847467802635 * (-1.6821592654348876 + (0.2229502008528678 * x_0))) - (0.2360465812153284 + (1.539829793181692 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))) - ((-0.2118702239210185 * ((-1.4098777764544617 + (0.21377979931075994 * x_3)) * (-1.6821592654348876 + (0.2229502008528678 * x_0)))) - (0.43340783064998645 + (-1.8627788923339912 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) - (1.0601999305731757 * (-1.8026202153614108 + (0.2599308169230585 * x_1)))) - (-0.7319123160947827 * sin((0.9308375516358227 + (-0.8497462035865686 * (-1.8026202153614108 + (0.2599308169230585 * x_1))))))) - ((1.6830299134779736 * (-1.775251610451698 + (0.26918144207000727 * x_2))) - (-0.08888610781898909 * (-1.775251610451698 + (0.26918144207000727 * x_2)))))))
1096_FacultySalaries,ok,4,64,2,BFGS,0.9244828771749571,1.2562216654927045,120,76.47,,0.001,(43.526418527576496 + (((((16.31700032094799 * (-9.112288776127002 + (0.17718880655098507 * x_3))) - ((3.3184812337138787 * sin(((2.128675653367604 * (-7.346234106637792 + (0.09939270487749849 * x_2))) - (2.799703378165324 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (0.21634437056155553 * (-8.427043203926056 + (0.14480699704232594 * x_1))))) - (16.078261011512772 * (-9.112288776127002 + (0.17718880655098507 * x_3)))) - ((((0.7171854703311586 * (-9.112288776127002 + (0.17718880655098507 * x_3))) - (1.7022163199849065 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) - (((-2.1706357365192614 * sin((1.2389226125441457 + (0.954167404003768 * (-9.112288776127002 + (0.17718880655098507 * x_3)))))) - (1.754771290653431 * (-8.427043203926056 + (0.14480699704232594 * x_1)))) - ((1.4280312404625737 * sin((-0.6003631874915267 + (1.2932473604890813 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (25.979012074092026 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (0.9079157799423951 + (-0.9657896738304825 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))) - (21.019423808069632 * (-8.427043203926056 + (0.14480699704232594 * x_1)))))
1193_BNG_lowbwt,ok,9,128,3,BFGS,0.6311850393616985,440.0287492355568,124,353.91,,0.001,(514.7261776851656 + (((1186.4122761691856 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (52.59241950148575 * ((((15.317354670396561 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - ((2.593735707991735 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - (-2.314274958863942 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))) - (((1.1003846311743883 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - (13.934693945237818 * sin((9.212761663856813 + (-0.20959545065551521 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))))) - ((-11.594530262559715 * (-0.8422598823413764 + (2.029541885159943 * x_4))) - (8.121834080019092 * sin((13.038982641366914 + (0.07659621150044474 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))))))) * ((22.697528366878444 * sin((8.257117066775542 + (-2.0696286232251486 * (-0.8422598823413764 + (2.029541885159943 * x_4)))))) - ((40.15290517895545 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (67.68087841402965 + (-1.1591117111567635 * (-1.7565107319733801 + (1.3459852352286439 * x_3))))))))) - ((40.59267577166203 * (-0.7018100265975371 + (2.126697050295567 * x_0))) - (44.70071031624454 * (-0.9231403599700084 + (0.7474820728502092 * x_8))))))
1196_BNG_pharynx,ok,10,32,1,BFGS,0.4597963496310158,281.5475568229687,102,276.52,,0.001,(335.94249245171676 + ((4.5411630806015255 * ((((3.229802260586939 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - (((1.8533194375950348 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - (-7.121446469279809 * sin(((2.221943074956675 * (-5.275654998591812 + (0.08600904883651646 * x_4))) - (1.8823577064182404 * (-0.5927489783638191 + (2.279803762937766 * x_9))))))) - (-0.8446490360717549 * (-0.5927489783638191 + (2.279803762937766 * x_9))))) - (15.714927976397245 * (-0.5927489783638191 + (2.279803762937766 * x_9)))) * ((-1.072777010578794 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - (2.385635861183533 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))) - ((0.18706117155121174 * (-0.5927489783638191 + (2.279803762937766 * x_9))) - (((-1.3193830297679 + (0.5890102811463838 * x_0)) - (5.366664524611272 + (2.449480698013714 * (-0.5927489783638191 + (2.279803762937766 * x_9))))) - (14.349986350989438 * (-0.5927489783638191 + (2.279803762937766 * x_9)))))))
1199_BNG_echoMonths,ok,9,256,4,BFGS,0.5488839530013554,10.41572906140323,83,317.73,,0.001,(31.34230056077633 + ((((-3.793372951069683 * (-1.7077351386697883 + (0.1433472945228545 * x_4))) - (11.415885979512995 * abs(((0.8570099842588679 * (-0.7018100265975372 + (2.1266970502955673 * x_0))) - (1.1905134269336801 * sin((0.3697445278514547 + (2.9942414628959058 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))))))) - (0.2730932516302943 * (-3.0702386426579005 + (2.0989423382322308 * x_7)))) - (-18.95425899202425 * abs(((0.9298292953742742 * sin((-0.7038243399170718 + (0.3531908049208887 * (-2.7393118696321914 + (0.1834262746734647 * x_6)))))) - (((1.8202950973120582 * (-0.7018100265975372 + (2.1266970502955673 * x_0))) - (0.5860726059551845 + (-0.2600346090817496 * (-1.7077351386697883 + (0.1433472945228545 * x_4))))) - (1.923546566865096 * (-0.7018100265975372 + (2.1266970502955673 * x_0)))))))))
1201_BNG_breastTumor,ok,9,256,4,BFGS,0.173997404049408,9.628409495297964,130,343.25,,0.001,(10.796493773681167 + (((21.410401663451637 * (sin((1.3105173767575606 + (0.8637420479563576 * (((-0.03566107315126599 * (-5.513793854744495 + (0.10828748668207969 * x_0))) - (1.9128611902706343 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - ((10.192379723538131 * sin((0.8914980349681699 + (1.6060202359986895 * (-0.5388159060803247 + (2.3947373603569986 * x_3)))))) - ((0.7579770730963318 * (-1.6200683918739798 + (1.270641875979592 * x_4))) - (3.3918182735904283 * (-0.75 + (2.0833333333333335 * x_8))))))))) * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - ((0.5477898777685826 * (-1.061913167103641 + (2.0036097492521527 * x_5))) - (3.106194239023755 * sin((0.15943501760992607 + (0.855397614938408 * (sin((0.8158213368039783 + (1.0030953410936518 * (-0.5388159060803247 + (2.3947373603569986 * x_3))))) * ((-1.061913167103641 + (2.0036097492521527 * x_5)) - (((5.032842855401647 * sin((2.429172529107449 + (0.18903233613097764 * (-0.6081636405595373 + (2.2524579279982864 * x_7)))))) - (0.886328642452083 * (-1.061913167103641 + (2.0036097492521527 * x_5)))) - (10.42725579309111 * (-5.513793854744495 + (0.10828748668207969 * x_0)))))))))))) - (2.4214212549129224 + (-1.362893763888096 * (-0.75 + (2.0833333333333335 * x_8))))))
1203_BNG_pwLinear,ok,10,256,4,BFGS,0.5979514776714283,2.7826523176373006,99,241.12,,0.001,(-1.320889104674678 + (((((((-1.307472399514785 * ((-0.07017213284715496 + (1.0024590406736422 * x_0)) * (-0.012127673025267264 + (1.2127673025267265 * x_2)))) - ((-2.6319209119478035 * (-0.032157832069216574 + (1.286313282768663 * x_4))) - (3.4080347827114026 * (0.103834826330233 + (1.2979353291279123 * x_9))))) - (2.7164349168085034 * (0.103834826330233 + (1.2979353291279123 * x_9)))) - (-0.3722499474577753 * (0.23480352857641618 + (1.2692082625752226 * x_1)))) - ((-0.9787656789015241 * (-0.012127673025267264 + (1.2127673025267265 * x_2))) - (-2.1457914348923253 * ((-0.07017213284715496 + (1.0024590406736422 * x_0)) * (2.8907866766606163 + (0.3177037210267437 * (0.23480352857641618 + (1.2692082625752226 * x_1)))))))) - ((1.7549514522983902 * (-0.032157832069216574 + (1.286313282768663 * x_4))) - (3.86966728608856 * (-0.07017213284715496 + (1.0024590406736422 * x_0))))) - (-0.8369107480840305 + (0.8067415486378435 * (0.103834826330233 + (1.2979353291279123 * x_9))))))
