noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.8985673566166433,0.018709526551922435,119,119,0.7310924369747899,90.05042016806723,524.854600663795,119,90.00252100840335,11497.89856003107,119
0,Strogatz,0.9173012391090748,0.03335068212863338,14,14,0.7857142857142857,61.785714285714285,525.7397959183673,14,35.99357142857143,1735.32590867347,14
0,Black-box,0.8125099782157923,0.034958039007125616,88,89,0.38202247191011235,109.57303370786516,1111.52556495392,89,140.87359550561797,8725.848256735262,89
0.001,Feynman,0.8996181905835974,0.018853242861368847,119,119,0.7563025210084033,91.53781512605042,507.2737801002751,119,88.34403361344535,13133.74160389803,119
0.001,Strogatz,0.9708769286368515,0.003041847950359866,14,14,0.8571428571428571,62.214285714285715,298.5969387755103,14,36.797142857142866,1307.6270918367347,14
0.001,Black-box,0.8113757668788613,0.03446110087937645,88,89,0.38202247191011235,106.91011235955057,1009.2054033581614,89,199.5383146067416,20902.175748844842,89
0.01,Feynman,0.8956342381356847,0.019495560525291673,119,119,0.7226890756302521,87.73109243697479,586.1293693948168,119,102.90252100840335,16598.12284574536,119
0.01,Strogatz,0.9693582684601105,0.003576335647898983,14,14,0.8571428571428571,65.07142857142857,576.3520408163265,14,25.56357142857143,769.0047086734694,14
0.01,Black-box,0.8123435676823089,0.035183626524593746,88,89,0.4157303370786517,107.11235955056179,816.5941169044311,89,202.7330337078651,22836.327173942685,89
0.1,Feynman,0.8874899129139221,0.02272095954157972,119,119,0.680672268907563,89.2016806722689,655.7576442341647,119,157.28806722689072,21621.89832147447,119
0.1,Strogatz,0.9602028093128577,0.0034307286802547033,14,14,0.8571428571428571,80.64285714285714,434.9438775510203,14,46.43142857142858,2952.040169387755,14
0.1,Black-box,0.774349254261593,0.04811413095195789,87,89,0.3707865168539326,102.79775280898876,877.6444893321552,89,182.3786516853932,8983.323995934858,89
