noise_strength,group,r2_mean,r2_var,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_var,complexity_count,seconds_mean,seconds_var,seconds_count
0,Feynman,0.8497055665318377,0.031162877504414977,63,63,0.5555555555555556,87.52380952380952,800.7256235827666,63,243.3290476190475,36495.9134435374,63
0,Strogatz,,,0,0,,,,0,,,0
0,Black-box,0.5882298339543854,0.04909941554048405,73,73,0.1095890410958904,104.32876712328768,939.8919121786449,73,378.14506849315063,18366.972167461063,73
0.001,Feynman,0.8561794433469629,0.027208445875718416,63,63,0.5396825396825397,87.31746031746032,1018.6293776769968,63,245.66507936507935,36006.185161501635,63
0.001,Strogatz,,,0,0,,,,0,,,0
0.001,Black-box,0.5930393553107671,0.05124829480792547,73,73,0.0958904109589041,105.54794520547945,854.5764683805589,73,378.61835616438367,16760.70753702384,73
0.01,Feynman,0.8555188278816762,0.030877553065101305,55,55,0.5454545454545454,89.07272727272728,843.9219834710746,55,269.66181818181815,38539.325687603305,55
0.01,Strogatz,,,0,0,,,,0,,,0
0.01,Black-box,0.5858883181821248,0.054223925758576284,73,73,0.1095890410958904,107.04109589041096,628.2311878401202,73,388.09575342465763,14714.4993559392,73
0.1,Feynman,0.6634021228004027,0.07204512062581414,119,119,0.29411764705882354,81.22689075630252,1077.654402937646,119,102.30378151260503,507.61123023797734,119
0.1,Strogatz,0.7733023959344794,0.05362272894293001,14,14,0.35714285714285715,83.5,572.25,14,98.17357142857142,667.8934372448981,14
0.1,Black-box,0.5495120720072183,0.06893870256948544,88,89,0.0898876404494382,95.97752808988764,1220.2017422042672,89,100.93224719101131,640.7574691074356,89
