noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0.0,Feynman,0.9666569357535859,0.13990206283880055,118,119,0.957983193277311,37.470588235294116,15.098457559048295,119,39.44126315878219,8.61435351587959,119
0.0,Strogatz,0.6654113289494232,0.383917013309693,12,14,0.5,35.714285714285715,11.183077594731959,14,8.17704016821725,2.9683925338922648,14
0.0,Black-box,0.43829879844411734,0.3216146156931538,72,89,0.07865168539325842,64.46067415730337,23.130337187812817,89,14.877575510003593,18.811438941534803,89
0.001,Feynman,0.9655932169905747,0.1389319063052044,118,119,0.9495798319327731,36.57983193277311,14.859281567802974,119,52.05641509104176,11.325609206886211,119
0.001,Strogatz,0.5716021022428713,0.4218009939963302,11,14,0.5,37.357142857142854,12.332345060606988,14,10.053373966898237,3.2066181994675307,14
0.001,Black-box,0.481402543930462,0.32166751049811393,76,89,0.07865168539325842,65.42696629213484,20.448283706143986,89,19.858558477980367,22.48376606598047,89
0.01,Feynman,0.9662832138436703,0.13597308819953746,118,119,0.9495798319327731,42.554621848739494,14.173414264595005,119,57.57793843044954,7.7446783656177915,119
0.01,Strogatz,0.5547760540629476,0.4027390764198653,11,14,0.42857142857142855,45.5,13.875723919338922,14,9.99580875464848,4.314630863010482,14
0.01,Black-box,0.46202536856945386,0.31219346566048456,74,89,0.06741573033707865,63.41573033707865,21.357738901472263,89,20.22642787386862,24.661822006063414,89
0.1,Feynman,0.939680476575541,0.13677666641686492,118,119,0.865546218487395,56.109243697478995,15.537317460932181,119,45.61546887069189,4.665500963298765,119
0.1,Strogatz,0.5544064707918512,0.39723474012909366,12,14,0.35714285714285715,48.5,13.415076806126967,14,8.413418786866325,2.1882719922662806,14
0.1,Black-box,0.40038415692388457,0.3059152893429012,68,89,0.06741573033707865,66.32584269662921,21.835840695897282,89,14.95023250579834,19.216611752215588,89
